siren,name,naf,headcount,siteWeb,creationDate,Country Code
949649776,C2G PORTAGE,82.99Z,1,,2023-03-07,FR
949653067,ASMR KALI,59.11B,1,,2023-02-27,FR
949654842,GAMMA REFRIGERATION,71.12B,2,,2023-03-07,FR
949654958,IMA BUSINESS SCHOOL,85.59A,12,,2023-03-02,FR
949661250,AUTO-ECOLE TOUT & PERMIS,85.59A,1,,2023-03-07,FR
949663637,ZOLFO PROJECT MANAGEMENT OFFICE,71.12B,1,,2023-03-06,FR
949673289,HC FORMATION,85.59A,1,,2023-03-01,FR
949677884,OVER7SEAS,82.99Z,1,,2023-03-02,FR
949681415,EMDC,82.99Z,1,,2023-03-01,FR
949689186,KOLVERR,58.29C,1,,2023-03-03,FR
949698716,MFG TCE,43.34Z,1,,2023-02-23,FR
949698872,MAISON MARIE,58.13Z,1,,2023-03-06,FR
949713598,SANZ CONSTRUCTIONS GENERAL DU BTP,71.12B,2,,2023-01-01,FR
949724298,ICAD,71.12B,1,,2023-03-13,FR
949735062,AUDIO BASTILLE,47.43Z,1,,2023-03-10,FR
949743041,DARWIN PARTNERS,71.12B,11,,2023-02-28,FR
949743678,SNOWGRID SOLUTIONS,71.12B,1,,2023-02-24,FR
949746374,ITA INGENIERIE,71.12B,3,,2023-03-09,FR
949747133,YOOZ PDP,58.29C,2,,2023-03-09,FR
949747851,ETS DELOUVET,71.12B,1,,2023-03-01,FR
949750012,PRO MAX BAT,43.31Z,2,,2023-03-07,FR
949752075,ANJOY SOLUTION,71.12B,1,,2023-03-10,FR
949752463,AUDENSIEL SERVICES,71.12B,11,,2023-03-15,FR
949758510,CROQUS,71.12B,1,,2023-03-02,FR
949762033,REPAIR INGENIERIE,71.12B,1,,2023-03-13,FR
949767198,WALILI,71.12B,1,,2023-03-10,FR
949775217,CHANEAC SPORT,71.12B,1,,2023-03-12,FR
949780852,EARLYS,71.12B,2,,2023-02-08,FR
949789259,ALL GREEN RECORDING,71.12B,2,,2023-04-01,FR
949797732,INNOVATION CONCEPT CONSTRUCTION,71.12B,1,,2023-04-01,FR
949798201,SECRET,71.12B,1,,2023-02-13,FR
949806277,B2M INGENIERIE,71.12B,1,,2023-02-14,FR
949810402,AZZOUNI CONSULTING,58.29C,1,,2023-03-03,FR
949816029,ECOLE SUPERIEURE D'INFORMATIQUE ET D'INTELLIGENCE ARTIFICIELLE-ESIIA,85.59A,3,,2023-03-13,FR
949825285,HUMMING,82.99Z,1,,2023-03-12,FR
949825343,SEVEN OF NINE,82.99Z,1,,2023-03-08,FR
949831051,CAP ENERGIES SOLUTIONS,71.12B,1,,2023-03-13,FR
949831457,A.D.O MAITRISE D'OEUVRE,71.12B,2,,2023-03-08,FR
949833305,FLEX ENGINEERING,71.12B,1,,2023-02-27,FR
949834725,HEPTA STRUCTURE,71.12B,1,,2023-03-10,FR
949837199,BET NORMANDIE,71.12B,1,,2023-03-14,FR
949840847,HOME 'AIR,71.12B,2,,2023-03-11,FR
949850648,VIT'OPTI,82.99Z,1,,2023-02-03,FR
949852339,CABINET CARLOTTI URBANISME,71.12B,2,,2023-03-13,FR
949855654,KAS FORMATIONS,85.59A,1,,2023-03-15,FR
949856934,BLOOM BEAUTY ACADEMY,85.59A,1,,2023-02-22,FR
949864433,TIMOE,71.12B,1,,2023-03-13,FR
949875702,JB AUDIT,71.12B,1,,2023-03-07,FR
949877112,BUSINESS TRUST,82.99Z,1,,2023-03-14,FR
949883532,SANAK,82.99Z,11,,2023-03-13,FR
949889711,CAP HYDROGENE,85.59A,1,,2023-03-14,FR
949902779,H2N GEOTECHNIQUE,71.12B,1,,2023-04-01,FR
949913610,CAPMOD 3D,71.12B,1,,2023-03-09,FR
949913982,BUREAU FR,71.12B,1,,2023-03-07,FR
949916126,GENERATION LEARNING,85.59A,1,,2023-03-16,FR
949916704,SE2I,71.12B,1,,2023-03-14,FR
949931851,SYSFORM,85.59A,1,,2023-03-07,FR
949947493,FRET EXPRESS MJ,82.99Z,2,,2023-03-05,FR
949953889,ELIOSFAIR,71.12B,1,,2023-03-10,FR
949958813,WEFLEX,58.29C,1,,2023-03-14,FR
949962005,LE GANG DES TAVERNIERS,82.99Z,1,,2023-03-16,FR
949964241,OHMPIROKA,58.29C,2,,2023-04-01,FR
949967491,JLD INGENIERIE CONSULT,71.12B,1,,2023-03-13,FR
949969356,LIBERTAT,82.99Z,2,,2023-03-17,FR
949971022,MG ACADEMIE,85.59A,1,,2023-03-01,FR
949973093,SMOOZ VENTURES,58.29C,1,,2023-02-16,FR
949977540,TGM TECH,71.12B,1,,2023-03-17,FR
949983472,INSTITUT DES LANGUES ET DU MANAGEMENT INTERCULTUREL ET STRATEGIQUE,85.59A,3,,2023-03-17,FR
950707273,BMI,71.12B,1,,2023-03-07,FR
950716993,TER'2EAUX,71.12B,1,,2023-03-14,FR
950723668,LAMIJO,82.99Z,1,,2023-03-20,FR
950736504,HC FORMA,85.59A,1,,2023-03-14,FR
950741991,STERN ENERGY,71.12B,2,,2023-04-01,FR
950746032,MC CONSULTING,71.12B,1,,2023-02-15,FR
950746693,RAS PRORENOV BET,71.12B,1,,2023-01-19,FR
950749069,ISOCONSEIL PARIS,71.12B,1,,2023-03-14,FR
950758862,WE PERFORM ! CONSULTING ET FORMATION,85.59A,1,,2023-03-17,FR
950759100,ECOLE DE MANAGEMENT DE CRETEIL,85.59A,3,,2023-03-21,FR
950766535,ANC BE,71.12B,1,,2023-03-09,FR
950773325,IT2E (INGENIERIE THERMIQUE ENVIRONNEMENTALE ET ECONOMIQUE),71.12B,1,,2023-03-17,FR
950777649,AGRODRONE,71.12B,1,,2023-03-20,FR
950783340,MASYLOISIRS,47.43Z,11,,2023-03-21,FR
950784454,STENGELIN PORTAGE,82.99Z,2,,2023-03-21,FR
950786020,TETMET SAS,71.12B,2,,2023-04-01,FR
950789495,EXTESER,82.99Z,2,,2023-03-17,FR
950793786,LIMOGES BUSINESS SCHOOL,85.59A,2,,2023-03-20,FR
950797217,ELION CONSULTING,71.12B,1,,2023-03-13,FR
950806109,SAS EMIS WORLD,71.12B,1,,2023-03-07,FR
950815589,MONHA,82.99Z,2,,2023-03-15,FR
950825166,VINCENT DARFEUILLE,47.43Z,1,,2023-03-22,FR
950825844,AUDIT ENERGETIQUE CONSEIL,71.20B,1,,2023-03-18,FR
950833962,BRGC SOLUTIONS,82.99Z,1,,2023-03-16,FR
950841510,ODESS,59.11B,1,,2023-03-01,FR
950854661,TECHNIPLUS INDUSTRIE,71.12B,1,,2023-03-22,FR
950857698,FORMATION PREMIUM,85.59A,1,,2023-06-01,FR
950858050,DAR,85.59A,1,,2023-03-08,FR
950858571,OMEGA CONSULTING & FORMATION,85.59A,1,,2023-03-21,FR
950862805,GIE D'AGEN BARBUSSE,82.99Z,11,,2023-01-30,FR
950863373,"ASCENDI IGI, INOVACAO E GESTAO DE INFRA-ESTRUTURAS S.A",71.12B,1,,2023-03-01,FR
950875427,GB ELEC NORD,71.12B,3,,2023-03-27,FR
950881821,P4ALL,82.99Z,1,,2023-04-01,FR
950885632,P-LAYER,71.12B,1,,2023-04-01,FR
950895151,GICON -  GROBMANN INGENIEUR CONSULT GMBH,71.12B,1,,2023-01-01,FR
950896472,RD PARTNERS,85.59A,2,,2023-02-23,FR
950896654,SERVICES BAT'INDUSTRIES,82.99Z,1,,2023-03-24,FR
950901660,BATIR INNOVANT RESPONSABLE ET DURABLE,71.12B,1,,2023-03-23,FR
950902742,BSI,43.21A,3,,2023-03-20,FR
950903500,ACT PHARMACIE,82.99Z,11,,2023-04-03,FR
950909762,ABA IT CONSULTING,71.12B,1,,2023-03-24,FR
950916718,JHUMANJ,58.29C,1,,2023-03-01,FR
950916932,HURA PORTAGE INNOVATION,82.99Z,11,,2023-03-23,FR
950925370,FREEZCO,71.12B,1,,2023-03-22,FR
950930263,ERA ENGINEERING,71.12B,1,,2023-03-07,FR
950941971,COORDILIE,71.12B,1,,2023-04-01,FR
950952945,SBENGINEERING,71.12B,1,,2023-05-01,FR
950959643,OCORDO,71.12B,1,,2023-03-24,FR
950960500,2F COM,71.12B,1,,2023-03-26,FR
950965285,FLUXENCE,58.29C,1,,2023-03-05,FR
950966994,CLEF OPERATING COMPANY,71.12B,1,,2023-04-01,FR
950969667,LSG ACADEMIE,85.59A,1,,2023-03-19,FR
950978569,BN ENERGIE,71.12B,1,,2023-03-22,FR
950980631,KEO ROBOTICS,71.12B,3,,2023-03-27,FR
950989707,JAVANNIE,82.99Z,1,,2023-03-06,FR
950998716,4C ENGINEERING,71.12B,1,,2023-03-27,FR
951002559,COLA INNOVATION,71.12B,3,,2023-03-24,FR
951006154,ORRON ENERGY DEVELOPPEMENT FRANCE,71.12B,1,,2023-03-27,FR
951007434,RECYCLAGE SOLUTIONS MINERAL,43.99B,1,,2023-03-15,FR
951008523,B.B.E - BISIAUX BUREAU D'ETUDES,71.12B,1,,2023-03-27,FR
951010503,BATEG,71.12B,11,,2023-03-03,FR
951010586,MAISONS DE LUNE,71.12B,1,,2023-01-01,FR
951013804,EGS,85.59A,11,,2023-03-21,FR
951018720,IDR ENGINEERING,71.12B,1,,2023-03-23,FR
951023183,EPINAY MANAGEMENT SCHOOL,85.59A,11,,2023-03-27,FR
951026442,UMAN IMMOBILIER,71.12B,3,,2023-04-01,FR
951036177,EXAGRID FRANCE,82.99Z,11,,2023-03-01,FR
951051044,MILES GROUP,71.12B,2,,2023-03-21,FR
951060946,HOME EXPERT & CO,71.12B,2,,2023-03-27,FR
951065754,AGENCE ZEBRELLE,59.11B,1,,2023-03-17,FR
951066638,COLI,82.99Z,1,,2023-03-23,FR
951075027,CONTRACTANT GENERAL EN BATIMENTS INDUSTRIELS,71.12B,1,,2023-03-28,FR
951083393,TEKNI,71.20B,1,,2023-03-16,FR
951087238,HOLOPHONIX,90.02Z,3,,2023-03-21,FR
951097302,TSB CONSULTING,71.12B,2,,2023-03-07,FR
951104777,GEGB,41.20A,3,,2023-04-01,FR
951109677,ECOR / ECAR,85.59A,11,,2023-03-10,FR
951114693,CLEO RENOV,71.12B,1,,2023-04-01,FR
951123264,DRAVIR,71.12B,1,,2023-04-01,FR
951142686,CHRIS SERVICES,82.99Z,1,,2023-04-15,FR
951144922,B2G,71.12B,1,,2023-04-03,FR
951145416,P.S.R,43.39Z,2,,2023-03-21,FR
951147602,FOCUS TERRA,71.12B,1,,2023-03-29,FR
951156413,OCCINOVA,43.21A,1,,2023-03-29,FR
951159466,MB CREATION,71.12B,1,,2023-01-30,FR
951160126,EETIC FR,82.99Z,1,,2023-03-01,FR
951171065,KS-LEARN,85.59A,1,,2023-02-25,FR
951182419,ALVAREZ ARLABOSSE FORMATION,85.59A,1,,2023-04-01,FR
951191485,ONE-PICTURE,59.11B,1,,2023-04-01,FR
951193556,DANS LA RUCHE,82.99Z,11,,2023-04-03,FR
951209188,CODALIS,71.12B,3,,2023-04-01,FR
951213651,SOLVHEAT,71.12B,1,,2023-04-03,FR
951217116,GHP ENVIRONNEMENT,71.12B,1,,2023-03-29,FR
951217728,SMART BOOSTERS,58.29C,1,,2023-04-01,FR
951230218,SAKER B.A. CONSEILS,71.12B,1,,2023-04-03,FR
951232354,GOGLOBAL GEO FRANCE,82.99Z,11,,2023-04-15,FR
951235860,IRIS INTUITION,85.59A,1,,2023-03-12,FR
951242825,AUDIT ET DISTRIBUTION,71.12B,1,,2023-04-02,FR
951252600,FIGEAC TRANSITION,71.12B,1,,2023-03-30,FR
951257310,L'ESCAPADE VOSGIENNE,85.59A,1,,2023-04-03,FR
951273242,S.A.G.A.,82.99Z,2,,2023-03-27,FR
951287101,SC GLOBAL,70.22Z,1,,2023-01-01,FR
951292648,AVEC CECI CONCIERGERIE,82.99Z,1,,2023-04-04,FR
951293943,AUDIT INTER ET COPRO,71.12B,1,,2023-03-03,FR
951298314,HTB CONCEPT,71.12B,2,,2023-01-14,FR
951299890,RB KONSULTING,71.12B,1,,2023-03-17,FR
951302140,FIBREXPRESS,71.12B,1,,2023-04-04,FR
951306091,GEFIPROM,71.12B,1,,2023-03-25,FR
951318526,TEMPTED,58.29C,1,,2023-03-31,FR
951327766,SKOOL N'JOB,85.59A,12,,2023-05-01,FR
951328962,BE EXCELYS,71.12B,1,,2023-04-05,FR
951340801,MSLIVE,59.11B,1,,2023-03-24,FR
951342724,RATP SECURITE EXPERTISES,85.59A,1,,2023-03-29,FR
951357771,SPARKSEED,85.59A,1,,2023-04-06,FR
951359751,TECHNIC G LOGISTIC,82.99Z,3,,2023-03-05,FR
951360890,SEMENTO,81.30Z,1,,2023-04-06,FR
951361807,ORPY INGENIERIE,71.12B,1,,2023-05-01,FR
951366798,GTVS OCCITANIE,43.22B,3,,2023-04-01,FR
951395953,ATIC INGENIERIE,71.12B,2,,2023-04-06,FR
951398338,EXPERT CONSEIL 71,71.12B,1,,2023-04-04,FR
951401694,KF CONSULTING,43.21A,1,,2023-04-07,FR
951405513,LIFELIDAR,71.12B,1,,2023-03-20,FR
951407659,BET RUIZ GROUPE,71.12B,1,,2023-01-30,FR
951454289,ARTDIGIT,58.29C,2,,2023-04-10,FR
951457019,ICM AZUR,74.90A,1,,2023-04-04,FR
951465442,KTEBOUL,82.99Z,1,,2023-04-11,FR
951469634,TDA PROD,59.11B,1,,2023-04-06,FR
951489863,ALTER FORM REUNION,85.59A,1,,2023-04-11,FR
951494210,WADADAVERSE,59.11B,1,,2023-04-07,FR
951495308,W3E,71.12B,1,,2023-04-11,FR
951498203,SMI,82.99Z,1,,2023-05-01,FR
951509165,BSYS,71.12B,1,,2023-03-29,FR
951509447,CONSEIL HABITAT ENERGIE,82.99Z,1,,2023-04-01,FR
951510486,OUTTATIME,59.11B,1,,2023-04-10,FR
951512508,AG MAITRINOVE,71.12B,1,,2023-04-07,FR
951513936,PRIM'CONCEPT,71.12B,1,,2023-04-03,FR
951521178,2:00 AM,58.29C,2,,2023-03-24,FR
951541101,ACADEMIE REVOLTE,85.59A,1,,2023-01-12,FR
951542240,TRANSPORTS DE L'EST,82.99Z,12,,2023-05-01,FR
951542489,LEARNEXA,58.29C,2,,2023-04-11,FR
951546209,SPS COMPANY,85.59A,1,,2023-04-12,FR
951550425,ALEO INNOVATION,85.59A,2,,2023-03-16,FR
951552272,INSTITUT MEDICAL DE LA PEAU,82.11Z,2,,2023-04-11,FR
951563196,DYNAMIC INSERTION SERVICES,82.99Z,2,,2023-01-19,FR
951594175,EXPERTISIA SOLUTIONS,85.59A,1,,2023-04-12,FR
951595875,1PLACE,58.29C,1,,2023-04-12,FR
951595917,DAYLEAD,70.21Z,1,,2023-04-05,FR
951598978,ZENCITY,71.12B,1,,2023-04-14,FR
951628346,COM-TECHS,71.12B,2,,2023-04-13,FR
951629179,CAMPUS125,85.59A,3,,2023-04-30,FR
951643527,DAPHANTHIS,71.12B,1,,2023-04-11,FR
951646074,BF INGENIERIE CONSEILS,71.12B,1,,2023-04-13,FR
951658525,ALPES ACTIV BUREAUX EN ABREGE AAB,82.99Z,1,,2023-04-17,FR
951667419,NEURAL SYSTEMS,58.29C,1,,2023-04-13,FR
951667682,CTRL,82.99Z,12,,2023-03-08,FR
951670322,OAZYS,82.99Z,1,,2023-04-14,FR
951672997,ECCEL ENVIRONNEMENT ARA,71.12B,1,,2023-04-17,FR
951675990,BR CONCEPT,71.12B,1,,2023-04-07,FR
951683028,FACILITY SERVICES,82.99Z,12,,2023-04-12,FR
951696343,MCMILLEN SAS,71.12B,1,,2023-04-12,FR
951696913,CHENG XIN,71.12B,1,,2023-04-13,FR
951706746,LE COMPTOIR DES FRANCAIS DE L'ETRANGER - CFE,82.99Z,2,,2023-04-17,FR
951706852,HNC ETUDES CONCEPTIONS TECHNIQUES,71.12B,1,,2023-04-01,FR
951730613,WONDER WOMEN CONSULTING,82.99Z,1,,2023-03-09,FR
951737493,GRN EXPERTISES,85.59A,2,,2023-04-18,FR
951738046,TRADE IN COMPLIANCE,85.59A,1,,2023-04-10,FR
951739218,RENOVIE,43.21A,3,,2023-04-13,FR
951751635,AMAO - BACON,71.12B,1,,2023-04-12,FR
951753151,EPIO,71.12B,1,,2023-05-02,FR
951754837,LSR AUDIO,58.29C,1,,2023-04-01,FR
951755883,INEO CONSULT,71.12B,2,,2023-05-10,FR
951758804,M2C MOBILITE,71.12B,1,,2023-03-31,FR
951761840,LIFE ACADEMY,85.59A,2,,2023-04-19,FR
951763481,MARINE ARIA,71.12B,1,,2023-04-17,FR
951770270,CABINET KGS,85.59A,1,,2023-04-14,FR
951777606,CODYSEUM,58.29C,2,,2023-04-10,FR
951783836,RIPPLE DIGITAL,58.29C,2,,2023-04-14,FR
951788579,PARTNER +,85.59A,1,,2023-04-13,FR
951791045,GIE DE CHATEAU THIERRY,82.99Z,11,,2023-03-17,FR
951791185,GIE LG IMMO,82.99Z,1,,2023-01-23,FR
951792381,KHL RESEAUX,71.12B,2,,2023-04-24,FR
951799477,EXTRAJOOL,71.12B,1,,2023-04-11,FR
951800606,AC BASSIN CONSEIL,71.12B,1,,2023-04-14,FR
951804624,OTEIS PARTNERS,71.12B,12,,2023-04-17,FR
951808203,CIDEL+,71.12B,2,,2023-04-17,FR
951810118,KOG,58.29C,1,,2023-04-14,FR
951820018,PROGRAMME SKATEPARK,71.12B,1,,2023-04-19,FR
951827682,BET DEMIRCI,71.12B,1,,2023-04-20,FR
951829571,GROUPE FCA,85.59A,1,,2023-04-17,FR
951835024,EQUATION TRAVAUX,82.11Z,1,,2023-04-19,FR
951842749,CHAINLIT,58.29C,1,,2023-04-14,FR
951846195,LES BUREAUX DE GOUSSAINVILLE,82.99Z,1,,2023-04-01,FR
951846971,FUTURAIL,42.12Z,1,,2023-04-19,FR
951850593,QUANTFOX,58.29C,1,,2023-04-21,FR
951871730,HIVE SYSTEM,58.29C,1,,2023-03-30,FR
951876622,PIVOT PANDA PARIS,71.12B,1,,2023-04-18,FR
951884139,AMRIBEAU,71.12B,1,,2023-04-13,FR
951885938,LE FACADIER FRANCAIS,71.12B,1,,2023-03-28,FR
951888080,FLOWARE,58.29C,1,,2023-04-17,FR
951888320,SOCIETE REUNIONNAISE FORMATION,85.59A,2,,2023-05-01,FR
951892082,AIGLE SERVICES,82.99Z,2,,2023-02-01,FR
951892116,AP INTERNATIONAL TRAINING,85.59A,1,,2023-05-01,FR
951895416,MAJA RENOV-SERVICES,71.12B,1,,2023-04-14,FR
951896414,AFFORPAH,85.59A,1,,2023-03-31,FR
951899996,BENAC  & BRUNSARD,71.12B,1,,2023-03-30,FR
951907948,BATETUDES,71.12B,1,,2023-03-01,FR
951928704,EQUIP'HABITAT,82.99Z,2,,2023-04-14,FR
951930064,ARTEK,71.12B,11,,2023-04-25,FR
951941202,COLMAR GROUP RESEAUX,71.12B,1,,2023-04-24,FR
951942176,SYNERGIE BOIS BORDEAUX,71.12B,1,,2023-04-07,FR
951945765,EMOTION STUDIO,58.29C,1,,2023-04-20,FR
951947118,SUF FORMATION NORD,85.59A,2,,2023-04-06,FR
951974047,STELLAR QUANTUM,58.29C,1,,2023-04-25,FR
951979798,ENEFFIC,35.11Z,1,,2023-04-25,FR
951984475,ETUDE CONCEPT TRAVAUX,71.12B,2,,2023-04-11,FR
951989219,NONANTE HUIT,59.11B,2,,2023-04-20,FR
952005437,HOLISTIK,74.90A,1,,2023-03-16,FR
952019776,LAB'SCIENCE NORMANDIE,71.12B,2,,2023-04-21,FR
952020386,AXESS NORMANDIE,71.12B,1,,2023-04-26,FR
952022853,COLLECTIF ENERGIE SUD EST,82.99Z,2,,2023-04-27,FR
952024156,CVCP ENERGIES,71.12B,1,,2023-04-18,FR
952029668,EASY TALENT,70.22Z,2,,2023-04-25,FR
952038503,OYILI STUDIO,59.11B,1,,2023-04-25,FR
952042729,EVER PARIS,59.11B,2,,2023-04-18,FR
952051910,GREENWITS,71.12B,3,,2023-05-01,FR
952052074,,,2,,2023-04-29,FR
952054831,NLT HOLDING,71.12B,1,,2023-03-29,FR
952058378,SITAT FLBO,71.12B,1,,2023-04-28,FR
952059178,MOONKY,59.11B,1,,2023-04-27,FR
952064228,PAUPIETTE GROUP,82.99Z,3,,2023-05-02,FR
952083822,NEUROTEC,71.12B,3,,2023-04-27,FR
952094993,ECOMAITRISE AMO,71.12B,1,,2023-04-30,FR
952100451,ASKING FRANCE,71.12B,1,,2023-04-21,FR
952102622,MOSAICMAKER,58.29C,1,,2023-04-24,FR
952103877,IW MARKETING FRANCE,82.99Z,1,,2023-04-06,FR
952109916,JOVA ENERGIE,71.12B,1,,2023-04-14,FR
952127025,VALORALIM,82.99Z,1,,2023-03-29,FR
952150043,CANAL AIR CVC,71.12B,2,,2023-04-27,FR
952154987,ABRF,71.20B,1,,2023-05-02,FR
952158731,GAUCHER FANNY,59.11C,1,,2023-03-17,FR
952160711,KNM,85.59A,1,,2023-05-02,FR
952160869,EKA SERVICES,71.12B,1,,2023-05-02,FR
952173805,LES SPECIALISTES DU BIEN ETRES,82.99Z,1,,2023-05-01,FR
952179406,PRETTYVILLA,41.20A,2,,2023-04-04,FR
952191146,EDA GROUPE,85.59A,1,,2023-05-04,FR
952199941,AU PLAISIR DES MOTS,85.59A,1,,2023-05-02,FR
952231033,OBJECTWAY,58.29C,1,,2023-05-05,FR
952256048,C2F CONCEPT,58.29C,1,,2023-04-06,FR
952256139,PANGAIA,71.12B,11,,2023-05-02,FR
952256196,BE ALU CARAIBES,71.12B,3,,2023-04-01,FR
952319770,I-ONE  TECHNOPREST & SALES,45.11Z,1,,2023-05-05,FR
952320612,SLOPE,85.59A,2,,2023-05-03,FR
952353464,,,1,,2023-04-01,FR
952367639,ABA  NETWORKS,71.12B,2,,2023-06-01,FR
952395226,ECOLE DES COMPETENCES,85.59A,1,,2023-05-09,FR
952397370,GREENING INGENIERIE,71.12B,3,,2023-05-09,FR
952407153,AGELIO,71.12B,2,,2023-05-05,FR
952414688,ZELLIPS DESIGN,71.12B,2,,2023-05-03,FR
952421949,SNC R2MI,71.12B,1,,2023-05-04,FR
952430809,SOUL INGENIERIE,71.12B,1,,2023-05-06,FR
952435188,ROGEC,74.90A,1,,2023-05-02,FR
952439289,INTUITION ROBOTIQUE & TECHNOLOGIES,71.12B,1,,2023-05-09,FR
952457463,I.VRD,71.12B,1,,2023-06-01,FR
952459535,INOVELEC INNES,71.12B,11,,2023-05-10,FR
952469666,J.G.,82.99Z,1,,2023-04-26,FR
952470656,TEAMTECH,58.29C,1,,2023-05-11,FR
952479418,ALPITECH,71.12B,1,,2023-05-12,FR
952484459,SASU VALE,71.12B,2,,2023-05-10,FR
952485753,LL,85.59A,2,,2023-05-12,FR
952507200,AGENCE URBA 37,71.12B,1,,2023-06-01,FR
952511236,JDI CONSULTING,70.22Z,1,,2023-05-01,FR
952536514,SCAR INGENIERIE,71.12B,1,,2023-05-03,FR
952553410,EVOL AGENCY,85.59A,1,,2023-05-15,FR
952556652,C&P 37,71.12B,2,,2023-05-15,FR
952573012,VOXDUB,58.29C,1,,2023-05-01,FR
952573087,PULP STUDIO,59.11B,1,,2023-05-11,FR
952578441,MIND,71.12B,2,,2023-05-15,FR
952579555,JFP FORMATION,85.59A,1,,2023-05-16,FR
952594398,NH STRUCTURE,71.12B,2,,2023-05-05,FR
952597979,AIDE CENTRE SERVICES,82.99Z,1,,2023-05-12,FR
952600302,CENI,71.12B,1,,2023-05-09,FR
952601847,REPAIRE,71.12B,1,,2023-05-16,FR
952605350,BATI CONSEIL&FORMATION OUEST,85.59A,3,,2023-05-16,FR
952607570,BETURBO (BY CM),58.29C,1,,2023-04-28,FR
952612919,F.B.M,52.29B,2,,2023-05-01,FR
952637684,AD & N CONCEPT,71.12B,1,,2023-05-15,FR
952641132,FIR ENERGIES & SERVICES,71.12B,1,,2023-05-04,FR
952643336,PORTIXY,82.99Z,2,,2023-05-11,FR
952644953,LIBREAIR,58.29C,2,,2023-05-17,FR
952654663,TRANSAK GLOBAL,45.11Z,1,,2023-05-20,FR
952692440,EXPANSION 93 NOISY LE SEC,81.21Z,2,,2023-05-16,FR
952696698,RGD EVOLUTION,71.12B,3,,2023-05-17,FR
952703510,HADY SERVICES,43.22B,1,,2023-04-04,FR
952714483,AOD ENERGY,71.12B,1,,2023-05-16,FR
952731545,STUDYLANCE,82.99Z,1,,2023-05-17,FR
952738102,SUNDGAU CONSEILS,82.99Z,1,,2023-05-20,FR
952754919,PAŌ,59.11B,1,,2023-07-01,FR
952756641,AMM FIBRE,43.21A,1,,2023-05-24,FR
952784171,FIPS ACADEMY,85.59A,1,,2023-04-15,FR
952799583,QARAT CONSULTING,71.12B,2,,2023-05-05,FR
952804037,BT SERVICES,96.09Z,1,,2023-05-22,FR
952807907,MARS,71.12B,1,,2023-05-17,FR
952809697,5ASEC BUSINESS,82.99Z,11,,2023-05-23,FR
952813947,MULT-ID 2,85.59A,1,,2023-05-22,FR
952819407,CE. BATI. ETUDES. CONCEPTION.,71.12B,1,,2023-05-24,FR
952823656,DALLAMANO ROBERT CONSULTANT,71.12B,1,,2023-06-01,FR
952825834,AMBULANCES GRAND MOULINS,82.99Z,3,,2023-05-15,FR
952827152,NATURAL FORCES FRANCE,71.12B,2,,2023-05-24,FR
952834653,ECOLE JULIETTE DUBOIS COUTURE ET PARFUMERIE,85.59A,1,,2023-05-24,FR
952846723,ATB-MAITRISE D'OEUVRE,71.12B,1,,2023-06-01,FR
952849115,QEVLAR AI,58.29C,3,,2023-05-19,FR
952858595,TRAVAUX AMELIORATION HABITAT FRANCAIS (TAHF),71.12B,1,,2023-04-25,FR
952869212,TASTY VIDEO,59.11B,1,,2023-05-29,FR
952872372,ARC ASSISTANCE,71.12B,2,,2023-06-01,FR
952889103,LE BOUCHE A OREILLE,59.11B,11,,2023-05-09,FR
952892180,A LA POINTE,71.12B,1,,2023-05-25,FR
952898765,ETHER ENERGY FRANCE,71.12B,1,,2023-05-10,FR
952907715,LE 4 MAINS,82.99Z,1,,2023-06-01,FR
952911170,FACILI-SENS,85.59A,1,,2023-06-01,FR
952920007,MACK-ARTHUR,71.12B,1,,2023-05-01,FR
952943918,CAT AVIATION,85.59A,1,,2023-05-02,FR
952944825,BEAUTY EUROPA,85.59A,1,,2023-05-27,FR
952957108,EV CREATION IMMO,71.12B,1,,2023-05-23,FR
952972263,CIVIS INGENIERIE,71.12B,1,,2023-06-15,FR
952988764,ACCORD FRANCE SAS,82.99Z,2,,2023-06-01,FR
952990893,PERF' SANTE FORMATION,85.59A,1,,2023-05-25,FR
953004694,TWENTY ONE ACADEMY,85.59A,1,,2023-06-01,FR
953029931,AJ PRESTA,71.12B,1,,2023-05-29,FR
953044609,KAIROS VIDEOGRAPHIE,59.11B,1,,2023-05-25,FR
953049996,VISCO,59.11B,1,,2023-06-01,FR
953055654,SAV.PRO.BAT,71.12B,2,,2023-06-02,FR
953057601,NOVAGOUV,58.29C,1,,2023-05-17,FR
953065059,FORMAQUALI,85.59A,1,,2023-05-17,FR
953066859,ASC,71.12B,1,,2023-05-26,FR
953073798,KWAN-TEK,72.19Z,12,,2023-06-01,FR
953094638,AEXTIS,82.99Z,11,,2023-05-26,FR
953101276,WILLIM,71.12B,2,,2023-05-23,FR
953104395,LEA ACADEMIE,85.59A,1,,2023-06-01,FR
953105905,BETTERSCAN CO.,58.29C,1,,2023-06-01,FR
953106580,ACTI4CLIMATE,71.12B,1,,2023-05-17,FR
953120961,ALIXIR,58.29C,1,,2023-05-29,FR
953136181,RCAJD,82.99Z,1,,2023-06-03,FR
953142858,2T INGENIERIE,71.12B,1,,2023-07-01,FR
953152352,WITAMY,58.29C,1,,2023-06-01,FR
953156213,VERGIE,82.99Z,11,,2023-06-01,FR
953156635,AG INGENIERIE,71.12B,1,,2023-06-12,FR
