Company Name,Normalized Name,Category,Operations Type,Website,LinkedIn,Source Count,Sources,ILT Auth #,Notes
"ShipShot","shipshot","DCRO Certified Operator; ILT OA Operator","",https://shipshot.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"SkyMotion","skymotion","DCRO Certified Operator; ILT OA Operator","",https://skymotion.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Vortex Hardware & Maintenance BV","vortex hardware maintenance","BVLOS / DJI Dock Operator; DJI Reseller; DJI Enterprise Dealer","BVLOS, DJI Dock; DJI Enterprise Dealer / DJI Dock Installer; Enterprise Dealer (high priority)",https://www.vortex-hardware.com,linkedin.com/company/vortex-hardware-maintenance-bv,2,"Comet Browser, DJI Enterprise Website","","Heinenoord; drone integration & maintenance; Port of Rotterdam BVLOS ops"
"058nu","058nu","ILT STS Operator","STS-02",https://058nu.nl,,1,"ILT STS Register","ILT-2025/31819","Issued: 22-08-2025, Expiry: 22-08-2027"
"11 Shots Media","11 shots media","Drones.nl - luchtfotografie","",https://www.drones.nl/bedrijven/11shotsmedia,,1,"Drones.nl Directory","",""
"2 Brothers R/C","2 brothers rc","Drones.nl - droneshops","",https://www.drones.nl/bedrijven/2-brothers-r-c,,1,"Drones.nl Directory","",""
"2D Property Management B.V.","2d property management bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-289/01G",""
"2MB Media","2mb media","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-029/01G",""
"3D GeoData","3d geodata","DCRO Certified Operator","",https://3dgeodata.com/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"3DE Systems","3de systems","ILT OA Operator","",https://www.3desystems.com,,1,"ILT OA Register","NLD-OAT-292/01G",""
"67 Solutions B.V.","67 solutions bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-153/01G",""
"A. Agterberg","a agterberg","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-325/01G",""
"AB Drone","ab drone","DCRO Certified Operator","",https://www.abdrone.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"ABDrone","abdrone","ILT OA Operator","",https://www.abdrone.nl,,1,"ILT OA Register","NLD-OAT-038/03G",""
"Aboma Inspections","aboma inspections","ILT OA Operator","",https://www.aboma.nl,https://www.linkedin.com/company/aboma,1,"ILT OA Register","NLD-OAT-239/02G",""
"Acecore Technologies","acecore technologies","Drones.nl - inspectie","",https://www.drones.nl/bedrijven/acecore-technologies,,1,"Drones.nl Directory","",""
"Adcim B.V.","adcim bv","ILT OA Operator","",https://www.adcim.nl,,1,"ILT OA Register","NLD-OAT-121/01G",""
"Aerata","aerata","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-180/01G",""
"Aeret","aeret","Drones.nl - luchtvaart","",https://www.drones.nl/bedrijven/aeret,,1,"Drones.nl Directory","",""
"Aerial Intelligence","aerial intelligence","DCRO Certified Operator","",https://aerialintelligence.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Aerial Intelligence B.V.","aerial intelligence bv","ILT OA Operator","",https://aerialintelligence.nl/,,1,"ILT OA Register","NLD-OAT-193/02G",""
"Aeriallive Productions","aeriallive productions","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-058/01G",""
"Aerialtronics","aerialtronics","Drones.nl - inspectie","",https://www.drones.nl/bedrijven/aerialtronics,https://www.linkedin.com/company/aerialtronics,1,"Drones.nl Directory","",""
"Aerialtronics DV BV.","aerialtronics dv","ILT OA Operator","",https://www.aerialtronics.com,https://www.linkedin.com/company/aerialtronics,1,"ILT OA Register","NLD-OAT-034/01G",""
"Aerinspect","aerinspect","ILT OA Operator","",https://aerinspect.com,,1,"ILT OA Register","NLD-OAT-094/02G",""
"AERO BV.","aero","ILT OA Operator","",https://www.aeroscan.nl,https://www.linkedin.com/company/aeroscan,1,"ILT OA Register","NLD-OAT-033/04G",""
"Aero Scan holding BV.","aero scan holding","ILT OA Operator","",https://www.aeroscan.nl,https://www.linkedin.com/company/aeroscan,1,"ILT OA Register","NLD-OAT-006/04G",""
"Aero-metrics","aerometrics","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-112/03G",""
"Aerocam Company B.V.","aerocam company bv","ILT OA Operator","",https://www.aerocam.com,,1,"ILT OA Register","NLD-OAT-078/01G",""
"Aerokopter","aerokopter","Drones.nl - luchtfotografie","",https://www.drones.nl/bedrijven/aerokopter,,1,"Drones.nl Directory","",""
"AG Films","ag films","Drones.nl - videoproductie","",https://www.drones.nl/bedrijven/ag-films,,1,"Drones.nl Directory","",""
"Air Vision","air vision","ILT OA Operator","",https://www.airvision.nl,,1,"ILT OA Register","NLD-OAT-046/01G",""
"AIRfootage BV.","airfootage","ILT OA Operator","",https://airfootage.com,,1,"ILT OA Register","NLD-OAT-055/02G",""
"Airinov","airinov","Drones.nl - agrarisch","",https://www.drones.nl/bedrijven/airinov,,1,"Drones.nl Directory","",""
"AlfaDrone B.V.","alfadrone bv","ILT OA Operator","",https://www.alfadrone.nl,,1,"ILT OA Register","NLD-OAT-074/01G",""
"Ampelmann Operations B.V.","ampelmann operations bv","ILT OA Operator","",https://www.ampelmann.nl,https://www.linkedin.com/company/ampelmann,1,"ILT OA Register","NLD-OAT-246/01G",""
"Antea Netherlands","antea netherlands","ILT OA Operator","",https://www.anteagroup.nl,https://www.linkedin.com/company/antea-group,1,"ILT OA Register","NLD-OAT-028/02G",""
"ANWB Medical Drones","anwb medical drones","ILT OA Operator","",https://www.anwb.nl/gezondheid/anwb-medical-drones,linkedin.com/company/medicaldrones,1,"ILT OA Register","NLD-OAT-089/05G",""
"APEX Audio Visuals","apex audio visuals","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-130/02G",""
"ASR Schadeverzekering N.V.","asr schadeverzekering nv","ILT OA Operator","",https://www.asr.nl,https://www.linkedin.com/company/asr-nederland,1,"ILT OA Register","NLD-OAT-116/01G",""
"ATMOS UAV B.V.","atmos uav bv","ILT OA Operator","",https://www.atmosuav.com,https://www.linkedin.com/company/atmos-uav,1,"ILT OA Register","NLD-OAT-142/01G",""
"Aule B.V. / Airscope.nl","aule bv airscopenl","ILT OA Operator","",https://www.airscope.nl,,1,"ILT OA Register","NLD-OAT-228/02G",""
"Aurea Imaging","aurea imaging","ILT OA Operator","",https://www.aureaimaging.nl,,1,"ILT OA Register","NLD-OAT-119/01G",""
"Auricom","auricom","DCRO Certified Operator","",https://auricom.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Auricom Droneworks","auricom droneworks","ILT OA Operator","",https://auricom.nl/,,1,"ILT OA Register","NLD-OAT-146/01G",""
"AutoStickerOriginal","autostickeroriginal","ILT OA Operator","",https://www.autostickeroriginal.nl,,1,"ILT OA Register","NLD-OAT-284/01G",""
"Avular","avular","Drones.nl - inspectie","",https://www.drones.nl/bedrijven/avular,,1,"Drones.nl Directory","",""
"B-Focus B.V.","bfocus bv","ILT OA Operator","",https://b-focus.nl,,1,"ILT OA Register","NLD-OAT-260/03G",""
"B3D Design B.V.","b3d design bv","ILT OA Operator","",https://www.b3d-design.nl,,1,"ILT OA Register","NLD-OAT-131/01G",""
"Ballast Nedam N.V.","ballast nedam nv","ILT OA Operator","",https://www.ballast-nedam.com,https://www.linkedin.com/company/ballast-nedam,1,"ILT OA Register","NLD-OAT-115/01G",""
"BAM Infra B.V.","bam infra bv","ILT OA Operator","",https://www.bam.com,https://www.linkedin.com/company/royal-bam-group,1,"ILT OA Register","NLD-OAT-080/04G",""
"BeeDrone BV","beedrone","Drones.nl - inspectie","",https://www.drones.nl/bedrijven/beedrone,,1,"Drones.nl Directory","",""
"BeemFlights","beemflights","Drones.nl - luchtfotografie","",https://www.drones.nl/bedrijven/beemflights,,1,"Drones.nl Directory","",""
"BIBI Droneworks","bibi droneworks","DCRO Certified Operator","",https://www.bibi-droneworks.com/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"BiBi House Styling","bibi house styling","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-198/01G",""
"Bjorn Mierop Productions","bjorn mierop productions","ILT STS Operator","STS-01",,,1,"ILT STS Register","ILT-2025/1023","Issued: 28-02-2025, Expiry: 28-02-2027"
"BlikvanBoven VOF","blikvanboven","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-061/01G",""
"Boskalis Nederland BV.","boskalis nederland","ILT OA Operator","",https://www.boskalis.com,https://www.linkedin.com/company/boskalis,1,"ILT OA Register","NLD-OAT-005/03G",""
"Brabant Water N.V.","brabant water nv","ILT OA Operator","",https://www.brabantwater.nl,https://www.linkedin.com/company/brabant-water,1,"ILT OA Register","NLD-OAT-285/01G",""
"Brandsma Digital Measurement","brandsma digital measurement","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-031/01G",""
"Bureau voor de Landmeetkunde de Winter","bureau voor de landmeetkunde de winter","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-133/01G",""
"BVL De Winter","bvl de winter","DCRO Certified Operator","",http://www.bvldewinter.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"C-24 BV","c24","ILT OA Operator","",https://www.c24.nl,,1,"ILT OA Register","NLD-OAT-306/01G",""
"Celemation B.V.","celemation bv","ILT OA Operator","",https://www.celemation.com,,1,"ILT OA Register","NLD-OAT-269/01G",""
"Centaurs.ai B.V.","centaursai bv","ILT OA Operator","",https://www.centaurs.ai,https://www.linkedin.com/company/centaurs-ai,1,"ILT OA Register","NLD-OAT-096/01G",""
"Certicon Kwaliteitskeuringen B.V.","certicon kwaliteitskeuringen bv","ILT OA Operator","",https://www.certicon.nl,,1,"ILT OA Register","NLD-OAT-062/01G",""
"CHC Helicopters Netherlands B.V.","chc helicopters netherlands bv","ILT OA Operator","",https://www.chc.ca,https://www.linkedin.com/company/chc-helicopter,1,"ILT OA Register","NLD-OAT-129/01G",""
"Cinemato Media BV.","cinemato media","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-022/01G",""
"Cinerebels B.V.","cinerebels bv","ILT OA Operator","",https://www.cinerebels.com,,1,"ILT OA Register","NLD-OAT-203/01G",""
"Clear Flight Solutions","clear flight solutions","ILT OA Operator","",https://www.clearflightsolutions.com,https://www.linkedin.com/company/clear-flight-solutions,1,"ILT OA Register","NLD-OAT-073/02G",""
"Cloudshots","cloudshots","ILT OA Operator","",https://www.cloudshots.nl,,1,"ILT OA Register","NLD-OAT-063/01G",""
"Company Power","company power","ILT OA Operator","",https://www.companypower.nl,,1,"ILT OA Register","NLD-OAT-040/01G",""
"Croonwolter&Dros B.V.","croonwolterdros bv","ILT OA Operator","",https://www.croonwolterdros.nl,,1,"ILT OA Register","NLD-OAT-207/03G",""
"Custom Drone","custom drone","Drones.nl - inspectie","",https://www.drones.nl/bedrijven/customdrone,,1,"Drones.nl Directory","",""
"DARPAS","darpas","Drones.nl - modelsport","",https://www.drones.nl/bedrijven/darpas,,1,"Drones.nl Directory","",""
"DDC Smart Inspections","ddc smart inspections","DCRO Certified Operator","",https://ddc.works/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"De Kruijter Openbare Verlichting B.V.","de kruijter openbare verlichting bv","ILT OA Operator","",https://www.dekruijter.nl,,1,"ILT OA Register","NLD-OAT-313/01G",""
"De Landmeters B.V.","de landmeters bv","ILT OA Operator","",https://www.delandmeters.nl,,1,"ILT OA Register","NLD-OAT-154/01G",""
"Dé naam in beeld B.V.","d naam in beeld bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-150/01G",""
"De Oude Bibliotheek B.V.","de oude bibliotheek bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-139/03G",""
"De Wilde Swaen Holding B.V.","de wilde swaen holding bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-331/01G",""
"Dedicated Drones","dedicated drones","DCRO Certified Operator","",https://www.dedicateddrones.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Delft Dynamics","delft dynamics","DCRO Certified Operator","",https://www.delftdynamics.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Delft Dynamics B.V.","delft dynamics bv","ILT OA Operator","",https://www.delftdynamics.nl/,,1,"ILT OA Register","NLD-OAT-064/04G",""
"DEME Environmental NL B.V.","deme environmental nl bv","ILT OA Operator","",https://www.deme-group.com,https://www.linkedin.com/company/deme,1,"ILT OA Register","NLD-OAT-255/03G",""
"Den Bakker Drone Survey B.V.","den bakker drone survey bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-151/01G",""
"Dienst Justitiële Inrichtingen, penitentiaire inrichting Alphen aan den Rijn","dienst justitile inrichtingen penitentiaire inrichting alphen aan den rijn","ILT OA Operator","",https://www.dji.nl,,1,"ILT OA Register","NLD-OAT-205/02G",""
"Dienst Vervoer en Ondersteuning","dienst vervoer en ondersteuning","ILT OA Operator","",https://www.dji.nl,,1,"ILT OA Register","NLD-OAT-170/03G",""
"Dixtone Netherlands N.V.","dixtone netherlands nv","ILT OA Operator","",https://www.dixtone.nl,,1,"ILT OA Register","NLD-OAT-291/01G",""
"DJI Experience Store","dji experience store","DJI Reseller","DJI Official Flagship Store",https://dji-experiencestore.com/en,linkedin.com/company/dji-experience-store,1,"Comet Browser","","Mall of the Netherlands, Den Haag; official DJI flagship store"
"DOW Benelux B.V.","dow benelux bv","ILT OA Operator","",https://www.dow.com,https://www.linkedin.com/company/dow-chemical,1,"ILT OA Register","NLD-OAT-098/01G",""
"Drone Addicts","drone addicts","ILT OA Operator","",https://www.droneaddicts.nl,,1,"ILT OA Register","NLD-OAT-030/02G",""
"Drone Aerial","drone aerial","ILT OA Operator","",https://droneaerial.nl,,1,"ILT OA Register","NLD-OAT-277/01G",""
"Drone Aviation","drone aviation","ILT OA Operator","",https://www.droneaviation.com,,1,"ILT OA Register","NLD-OAT-007/01G",""
"Drone Class","drone class","DCRO Certified Operator","",https://www.droneclass.nl/,linkedin.com/company/drone-class,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Drone Directions","drone directions","ILT OA Operator","",https://dronedirections.nl,,1,"ILT OA Register","NLD-OAT-270/02G",""
"Drone Eye","drone eye","ILT OA Operator","",https://www.droneeye.nl,,1,"ILT OA Register","NLD-OAT-134/01G",""
"Drone Films","drone films","ILT OA Operator","",https://drone-films.nl,,1,"ILT OA Register","NLD-OAT-286/01G",""
"Drone Productions","drone productions","ILT OA Operator","",https://droneproductions.nl,,1,"ILT OA Register","NLD-OAT-316/01G",""
"Drone Security (kassatoezicht.online)","drone security kassatoezichtonline","ILT OA Operator","",https://kassatoezicht.online,,1,"ILT OA Register","NLD-OAT-283/01G",""
"Drone Survey Map","drone survey map","ILT OA Operator","",https://dronesurveymap.nl,,1,"ILT OA Register","NLD-OAT-253/01G",""
"Drone Up","drone up","ILT OA Operator","",https://www.droneup.nl,,1,"ILT OA Register","NLD-OAT-024/01G",""
"Drone Visual BV","drone visual","ILT OA Operator","",https://www.dronevisual.nl,,1,"ILT OA Register","NLD-OAT-231/02G",""
"Dronebeeld B.V.","dronebeeld bv","ILT OA Operator","",https://www.dronebeeld.nl,,1,"ILT OA Register","NLD-OAT-140/01G",""
"Dronebestemming","dronebestemming","ILT OA Operator","",https://www.dronebestemming.nl,,1,"ILT OA Register","NLD-OAT-165/01G",""
"Dronecapture","dronecapture","ILT OA Operator","",https://dronecapture.nl,,1,"ILT OA Register","NLD-OAT-261/02G",""
"DroneFlight Academy","droneflight academy","DCRO Certified Operator","",https://www.droneflightacademy.eu/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Dronehouses","dronehouses","Drones.nl - luchtfotografie","",https://www.drones.nl/bedrijven/dronehouses,,1,"Drones.nl Directory","",""
"DroneKopenOnline.nl","dronekopenonlinenl","Drones.nl - droneshops","",https://www.drones.nl/bedrijven/dronekopenonline,,1,"Drones.nl Directory","",""
"DroneLand","droneland","Drones.nl - droneshops","",https://www.drones.nl/bedrijven/droneland,linkedin.com/company/droneland,1,"Drones.nl Directory","",""
"DroneLand (Dutch Drone Group B.V.)","droneland dutch drone group bv","DJI Reseller","DJI Enterprise Dealer / DJI Dock Installer",https://www.droneland.nl,linkedin.com/company/droneland,1,"Comet Browser","","Largest DJI Enterprise dealer in Benelux; official DJI Dock dealer; Almere"
"Dronelex","dronelex","ILT OA Operator","",https://dronelex.nl,,1,"ILT OA Register","NLD-OAT-247/01G",""
"droneoperator.nl","droneoperatornl","ILT OA Operator","",https://droneoperator.nl,,1,"ILT OA Register","NLD-OAT-274/01G",""
"Droneopleidingen.nl","droneopleidingennl","Drones.nl - educatie","",https://www.drones.nl/bedrijven/droneopleidingen-nl,,1,"Drones.nl Directory","",""
"DronePlan","droneplan","ILT OA Operator","",https://droneplan.nl,,1,"ILT OA Register","NLD-OAT-299/01G",""
"DronePoint","dronepoint","DCRO Certified Operator","",https://dronepoint.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Dronepoint B.V.","dronepoint bv","ILT OA Operator","",https://dronepoint.nl/,,1,"ILT OA Register","NLD-OAT-125/03G",""
"DroneQ Robotics","droneq robotics","ILT OA Operator","",https://www.droneq.nl,https://www.linkedin.com/company/droneq-robotics,1,"ILT OA Register","NLD-OAT-008/03G",""
"DroneRacers.nl","droneracersnl","Drones.nl - racing","",https://www.drones.nl/bedrijven/droneracers-nl,,1,"Drones.nl Directory","",""
"DroneSpec","dronespec","ILT OA Operator","",https://www.dronespec.nl,,1,"ILT OA Register","NLD-OAT-308/01G",""
"Dronestars","dronestars","ILT OA Operator","",https://dronestars.nl,linkedin.com/company/dronestars-b-v,1,"ILT OA Register","NLD-OAT-077/02G",""
"DroneVisual","dronevisual","DCRO Certified Operator","",https://www.dronevisual.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Dronevlucht.eu (Aboriginal Beheer B.V.)","dronevluchteu aboriginal beheer bv","ILT OA Operator","",https://dronevlucht.eu,,1,"ILT OA Register","NLD-OAT-059/03G",""
"Dronewatch","dronewatch","ILT OA Operator","",https://www.dronewatch.nl,,1,"ILT OA Register","NLD-OAT-039/01G",""
"Dronewatch.nl","dronewatchnl","Drones.nl - educatie","",https://www.drones.nl/bedrijven/dronewatch,,1,"Drones.nl Directory","",""
"Droneworks B.V.","droneworks bv","ILT STS Operator","STS-01",https://www.bibi-droneworks.com/,,1,"ILT STS Register","ILT-2025/17561","Issued: 22-05-2025, Expiry: 22-05-2027"
"DroneXcellent","dronexcellent","ILT OA Operator","",https://dronexcellent.nl,,1,"ILT OA Register","NLD-OAT-314/01G",""
"Droning4solar BV.","droning4solar","ILT OA Operator","",https://www.droning4solar.nl,,1,"ILT OA Register","NLD-OAT-009/02G",""
"Droones Aerial Works","droones aerial works","ILT OA Operator","",https://www.droones.nl,,1,"ILT OA Register","NLD-OAT-088/01G",""
"Droonstra","droonstra","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-010/02G",""
"DSDP B.V.","dsdp bv","ILT OA Operator","",https://dsdp.com,,1,"ILT OA Register","NLD-OAT-202/01G",""
"Dunea","dunea","ILT OA Operator","",https://www.dunea.nl,https://www.linkedin.com/company/dunea,1,"ILT OA Register","NLD-OAT-320/01G",""
"Dura Vermeer","dura vermeer","ILT OA Operator","",https://www.duravermeer.nl,https://www.linkedin.com/company/dura-vermeer,1,"ILT OA Register","NLD-OAT-186/01G",""
"Dutch Air Survey","dutch air survey","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-327/01G",""
"Dutch Drone Gods","dutch drone gods","DCRO Certified Operator","",https://www.dutchdronegods.com/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Dutch Drone Gods B.V.","dutch drone gods bv","ILT OA Operator","",https://www.dutchdronegods.com/,,1,"ILT OA Register","NLD-OAT-257/02G",""
"Dutch Drone Group B.V.","dutch drone group bv","DJI Enterprise Dealer","Enterprise Dealer (high priority)",https://www.droneland.nl,https://www.linkedin.com/company/droneland,1,"DJI Enterprise Website","","Annie M.G. Schmidtweg 134 1321NB, Almere | +31 085 201 7472 | info@droneland.nl"
"Dutch Drone Group BV.","dutch drone group","ILT OA Operator","",https://www.droneland.nl,https://www.linkedin.com/company/droneland,1,"ILT OA Register","NLD-OAT-012/05G",""
"Dutch Drone Shows","dutch drone shows","ILT OA Operator","",https://dutchdroneshows.nl,,1,"ILT OA Register","NLD-OAT-076/03G",""
"Dutch Drone Survey BV.","dutch drone survey","ILT OA Operator","",https://dutchdronesurvey.nl,,1,"ILT OA Register","NLD-OAT-042/02G",""
"Dutch Inspect B.V.","dutch inspect bv","ILT OA Operator","",https://dutchinspect.nl,,1,"ILT OA Register","NLD-OAT-225/01G",""
"Dutchman DC","dutchman dc","DCRO Certified Operator","",https://www.dutchmandc.com/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Dutchman DC Droneworks","dutchman dc droneworks","ILT OA Operator","",https://www.dutchmandc.com/,,1,"ILT OA Register","NLD-OAT-172/02G",""
"Eagle Eye Inspection Services B.V.","eagle eye inspection services bv","ILT OA Operator","",https://eagle-eye-inspection.nl,,1,"ILT OA Register","NLD-OAT-144/01G",""
"Eagle Geomatics","eagle geomatics","DCRO Certified Operator","",https://eagle-geomatics.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"EBN Veiligheidsdienst","ebn veiligheidsdienst","ILT OA Operator","",https://www.ebn.nl,,1,"ILT OA Register","NLD-OAT-287/01G",""
