company_name,normalized_name,country,category,operations_type,sources,city_notes,website,linkedin,ilt_auth
Aerial Intelligence,aerial intelligence,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://aerialintelligence.nl/,,
Aerial Intelligence B.V.,aerial intelligence bv,NL,ILT OA Operator,,ILT OA Register,,https://aerialintelligence.nl/,,NLD-OAT-193/02G
Aeriallive Productions,aeriallive productions,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-058/01G
Aerialtronics,aerialtronics,NL,Drones.nl - inspectie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/aerialtronics,https://www.linkedin.com/company/aerialtronics,
Aerialtronics DV BV.,aerialtronics dv,NL,ILT OA Operator,,ILT OA Register,,https://www.aerialtronics.com,https://www.linkedin.com/company/aerialtronics,NLD-OAT-034/01G
Aerinspect,aerinspect,NL,ILT OA Operator,,ILT OA Register,,https://aerinspect.com,,NLD-OAT-094/02G
AERO BV.,aero,NL,ILT OA Operator,,ILT OA Register,,https://www.aeroscan.nl,https://www.linkedin.com/company/aeroscan,NLD-OAT-033/04G
Aero Scan holding BV.,aero scan holding,NL,ILT OA Operator,,ILT OA Register,,https://www.aeroscan.nl,https://www.linkedin.com/company/aeroscan,NLD-OAT-006/04G
Aero-metrics,aerometrics,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-112/03G
Aerocam Company B.V.,aerocam company bv,NL,ILT OA Operator,,ILT OA Register,,https://www.aerocam.com,,NLD-OAT-078/01G
Aerokopter,aerokopter,NL,Drones.nl - luchtfotografie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/aerokopter,,
AG Films,ag films,NL,Drones.nl - videoproductie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/ag-films,,
Air Vision,air vision,NL,ILT OA Operator,,ILT OA Register,,https://www.airvision.nl,,NLD-OAT-046/01G
AIRfootage BV.,airfootage,NL,ILT OA Operator,,ILT OA Register,,https://airfootage.com,,NLD-OAT-055/02G
Airinov,airinov,NL,Drones.nl - agrarisch,,Drones.nl Directory,,https://www.drones.nl/bedrijven/airinov,,
AlfaDrone B.V.,alfadrone bv,NL,ILT OA Operator,,ILT OA Register,,https://www.alfadrone.nl,,NLD-OAT-074/01G
Ampelmann Operations B.V.,ampelmann operations bv,NL,ILT OA Operator,,ILT OA Register,,https://www.ampelmann.nl,https://www.linkedin.com/company/ampelmann,NLD-OAT-246/01G
Antea Netherlands,antea netherlands,NL,ILT OA Operator,,ILT OA Register,,https://www.anteagroup.nl,https://www.linkedin.com/company/antea-group,NLD-OAT-028/02G
ANWB Medical Drones,anwb medical drones,NL,ILT OA Operator,,ILT OA Register,,https://www.anwb.nl/gezondheid/anwb-medical-drones,linkedin.com/company/medicaldrones,NLD-OAT-089/05G
APEX Audio Visuals,apex audio visuals,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-130/02G
ASR Schadeverzekering N.V.,asr schadeverzekering nv,NL,ILT OA Operator,,ILT OA Register,,https://www.asr.nl,https://www.linkedin.com/company/asr-nederland,NLD-OAT-116/01G
ATMOS UAV B.V.,atmos uav bv,NL,ILT OA Operator,,ILT OA Register,,https://www.atmosuav.com,https://www.linkedin.com/company/atmos-uav,NLD-OAT-142/01G
Aule B.V. / Airscope.nl,aule bv airscopenl,NL,ILT OA Operator,,ILT OA Register,,https://www.airscope.nl,,NLD-OAT-228/02G
Aurea Imaging,aurea imaging,NL,ILT OA Operator,,ILT OA Register,,https://www.aureaimaging.nl,,NLD-OAT-119/01G
Auricom,auricom,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://auricom.nl/,,
Auricom Droneworks,auricom droneworks,NL,ILT OA Operator,,ILT OA Register,,https://auricom.nl/,,NLD-OAT-146/01G
AutoStickerOriginal,autostickeroriginal,NL,ILT OA Operator,,ILT OA Register,,https://www.autostickeroriginal.nl,,NLD-OAT-284/01G
Avular,avular,NL,Drones.nl - inspectie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/avular,,
B-Focus B.V.,bfocus bv,NL,ILT OA Operator,,ILT OA Register,,https://b-focus.nl,,NLD-OAT-260/03G
B3D Design B.V.,b3d design bv,NL,ILT OA Operator,,ILT OA Register,,https://www.b3d-design.nl,,NLD-OAT-131/01G
Ballast Nedam N.V.,ballast nedam nv,NL,ILT OA Operator,,ILT OA Register,,https://www.ballast-nedam.com,https://www.linkedin.com/company/ballast-nedam,NLD-OAT-115/01G
BAM Infra B.V.,bam infra bv,NL,ILT OA Operator,,ILT OA Register,,https://www.bam.com,https://www.linkedin.com/company/royal-bam-group,NLD-OAT-080/04G
BeeDrone BV,beedrone,NL,Drones.nl - inspectie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/beedrone,,
BeemFlights,beemflights,NL,Drones.nl - luchtfotografie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/beemflights,,
BIBI Droneworks,bibi droneworks,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.bibi-droneworks.com/,,
BiBi House Styling,bibi house styling,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-198/01G
Bjorn Mierop Productions,bjorn mierop productions,NL,ILT STS Operator,STS-01,ILT STS Register,"Issued: 28-02-2025, Expiry: 28-02-2027",,,ILT-2025/1023
BlikvanBoven VOF,blikvanboven,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-061/01G
Boskalis Nederland BV.,boskalis nederland,NL,ILT OA Operator,,ILT OA Register,,https://www.boskalis.com,https://www.linkedin.com/company/boskalis,NLD-OAT-005/03G
Brabant Water N.V.,brabant water nv,NL,ILT OA Operator,,ILT OA Register,,https://www.brabantwater.nl,https://www.linkedin.com/company/brabant-water,NLD-OAT-285/01G
Brandsma Digital Measurement,brandsma digital measurement,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-031/01G
Bureau voor de Landmeetkunde de Winter,bureau voor de landmeetkunde de winter,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-133/01G
BVL De Winter,bvl de winter,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",http://www.bvldewinter.nl/,,
C-24 BV,c24,NL,ILT OA Operator,,ILT OA Register,,https://www.c24.nl,,NLD-OAT-306/01G
Celemation B.V.,celemation bv,NL,ILT OA Operator,,ILT OA Register,,https://www.celemation.com,,NLD-OAT-269/01G
Centaurs.ai B.V.,centaursai bv,NL,ILT OA Operator,,ILT OA Register,,https://www.centaurs.ai,https://www.linkedin.com/company/centaurs-ai,NLD-OAT-096/01G
Certicon Kwaliteitskeuringen B.V.,certicon kwaliteitskeuringen bv,NL,ILT OA Operator,,ILT OA Register,,https://www.certicon.nl,,NLD-OAT-062/01G
CHC Helicopters Netherlands B.V.,chc helicopters netherlands bv,NL,ILT OA Operator,,ILT OA Register,,https://www.chc.ca,https://www.linkedin.com/company/chc-helicopter,NLD-OAT-129/01G
Cinemato Media BV.,cinemato media,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-022/01G
Cinerebels B.V.,cinerebels bv,NL,ILT OA Operator,,ILT OA Register,,https://www.cinerebels.com,,NLD-OAT-203/01G
Clear Flight Solutions,clear flight solutions,NL,ILT OA Operator,,ILT OA Register,,https://www.clearflightsolutions.com,https://www.linkedin.com/company/clear-flight-solutions,NLD-OAT-073/02G
Cloudshots,cloudshots,NL,ILT OA Operator,,ILT OA Register,,https://www.cloudshots.nl,,NLD-OAT-063/01G
Company Power,company power,NL,ILT OA Operator,,ILT OA Register,,https://www.companypower.nl,,NLD-OAT-040/01G
Croonwolter&Dros B.V.,croonwolterdros bv,NL,ILT OA Operator,,ILT OA Register,,https://www.croonwolterdros.nl,,NLD-OAT-207/03G
Custom Drone,custom drone,NL,Drones.nl - inspectie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/customdrone,,
DARPAS,darpas,NL,Drones.nl - modelsport,,Drones.nl Directory,,https://www.drones.nl/bedrijven/darpas,,
DDC Smart Inspections,ddc smart inspections,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://ddc.works/,,
De Kruijter Openbare Verlichting B.V.,de kruijter openbare verlichting bv,NL,ILT OA Operator,,ILT OA Register,,https://www.dekruijter.nl,,NLD-OAT-313/01G
De Landmeters B.V.,de landmeters bv,NL,ILT OA Operator,,ILT OA Register,,https://www.delandmeters.nl,,NLD-OAT-154/01G
Dé naam in beeld B.V.,d naam in beeld bv,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-150/01G
De Oude Bibliotheek B.V.,de oude bibliotheek bv,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-139/03G
De Wilde Swaen Holding B.V.,de wilde swaen holding bv,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-331/01G
Dedicated Drones,dedicated drones,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.dedicateddrones.nl/,,
Delft Dynamics,delft dynamics,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.delftdynamics.nl/,,
Delft Dynamics B.V.,delft dynamics bv,NL,ILT OA Operator,,ILT OA Register,,https://www.delftdynamics.nl/,,NLD-OAT-064/04G
DEME Environmental NL B.V.,deme environmental nl bv,NL,ILT OA Operator,,ILT OA Register,,https://www.deme-group.com,https://www.linkedin.com/company/deme,NLD-OAT-255/03G
Den Bakker Drone Survey B.V.,den bakker drone survey bv,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-151/01G
"Dienst Justitiële Inrichtingen, penitentiaire inrichting Alphen aan den Rijn",dienst justitile inrichtingen penitentiaire inrichting alphen aan den rijn,NL,ILT OA Operator,,ILT OA Register,,https://www.dji.nl,,NLD-OAT-205/02G
Dienst Vervoer en Ondersteuning,dienst vervoer en ondersteuning,NL,ILT OA Operator,,ILT OA Register,,https://www.dji.nl,,NLD-OAT-170/03G
Dixtone Netherlands N.V.,dixtone netherlands nv,NL,ILT OA Operator,,ILT OA Register,,https://www.dixtone.nl,,NLD-OAT-291/01G
DJI Experience Store,dji experience store,NL,DJI Reseller,DJI Official Flagship Store,Comet Browser,"Mall of the Netherlands, Den Haag; official DJI flagship store",https://dji-experiencestore.com/en,linkedin.com/company/dji-experience-store,
DOW Benelux B.V.,dow benelux bv,NL,ILT OA Operator,,ILT OA Register,,https://www.dow.com,https://www.linkedin.com/company/dow-chemical,NLD-OAT-098/01G
Drone Addicts,drone addicts,NL,ILT OA Operator,,ILT OA Register,,https://www.droneaddicts.nl,,NLD-OAT-030/02G
Drone Aerial,drone aerial,NL,ILT OA Operator,,ILT OA Register,,https://droneaerial.nl,,NLD-OAT-277/01G
Drone Aviation,drone aviation,NL,ILT OA Operator,,ILT OA Register,,https://www.droneaviation.com,,NLD-OAT-007/01G
Drone Directions,drone directions,NL,ILT OA Operator,,ILT OA Register,,https://dronedirections.nl,,NLD-OAT-270/02G
Drone Eye,drone eye,NL,ILT OA Operator,,ILT OA Register,,https://www.droneeye.nl,,NLD-OAT-134/01G
Drone Films,drone films,NL,ILT OA Operator,,ILT OA Register,,https://drone-films.nl,,NLD-OAT-286/01G
Drone Productions,drone productions,NL,ILT OA Operator,,ILT OA Register,,https://droneproductions.nl,,NLD-OAT-316/01G
Drone Security (kassatoezicht.online),drone security kassatoezichtonline,NL,ILT OA Operator,,ILT OA Register,,https://kassatoezicht.online,,NLD-OAT-283/01G
Drone Survey Map,drone survey map,NL,ILT OA Operator,,ILT OA Register,,https://dronesurveymap.nl,,NLD-OAT-253/01G
Drone Up,drone up,NL,ILT OA Operator,,ILT OA Register,,https://www.droneup.nl,,NLD-OAT-024/01G
Drone Visual BV,drone visual,NL,ILT OA Operator,,ILT OA Register,,https://www.dronevisual.nl,,NLD-OAT-231/02G
Dronebeeld B.V.,dronebeeld bv,NL,ILT OA Operator,,ILT OA Register,,https://www.dronebeeld.nl,,NLD-OAT-140/01G
Dronebestemming,dronebestemming,NL,ILT OA Operator,,ILT OA Register,,https://www.dronebestemming.nl,,NLD-OAT-165/01G
Dronecapture,dronecapture,NL,ILT OA Operator,,ILT OA Register,,https://dronecapture.nl,,NLD-OAT-261/02G
DroneFlight Academy,droneflight academy,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.droneflightacademy.eu/,,
Dronehouses,dronehouses,NL,Drones.nl - luchtfotografie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/dronehouses,,
DroneKopenOnline.nl,dronekopenonlinenl,NL,Drones.nl - droneshops,,Drones.nl Directory,,https://www.drones.nl/bedrijven/dronekopenonline,,
Dronelex,dronelex,NL,ILT OA Operator,,ILT OA Register,,https://dronelex.nl,,NLD-OAT-247/01G
droneoperator.nl,droneoperatornl,NL,ILT OA Operator,,ILT OA Register,,https://droneoperator.nl,,NLD-OAT-274/01G
Droneopleidingen.nl,droneopleidingennl,NL,Drones.nl - educatie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/droneopleidingen-nl,,
DronePlan,droneplan,NL,ILT OA Operator,,ILT OA Register,,https://droneplan.nl,,NLD-OAT-299/01G
DronePoint,dronepoint,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://dronepoint.nl/,,
Dronepoint B.V.,dronepoint bv,NL,ILT OA Operator,,ILT OA Register,,https://dronepoint.nl/,,NLD-OAT-125/03G
DroneQ Robotics,droneq robotics,NL,ILT OA Operator,,ILT OA Register,,https://www.droneq.nl,https://www.linkedin.com/company/droneq-robotics,NLD-OAT-008/03G
DroneRacers.nl,droneracersnl,NL,Drones.nl - racing,,Drones.nl Directory,,https://www.drones.nl/bedrijven/droneracers-nl,,
DroneSpec,dronespec,NL,ILT OA Operator,,ILT OA Register,,https://www.dronespec.nl,,NLD-OAT-308/01G
DroneVisual,dronevisual,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.dronevisual.nl/,,
Dronevlucht.eu (Aboriginal Beheer B.V.),dronevluchteu aboriginal beheer bv,NL,ILT OA Operator,,ILT OA Register,,https://dronevlucht.eu,,NLD-OAT-059/03G
Droneworks B.V.,droneworks bv,NL,ILT STS Operator,STS-01,ILT STS Register,"Issued: 22-05-2025, Expiry: 22-05-2027",https://www.bibi-droneworks.com/,,ILT-2025/17561
DroneXcellent,dronexcellent,NL,ILT OA Operator,,ILT OA Register,,https://dronexcellent.nl,,NLD-OAT-314/01G
Droning4solar BV.,droning4solar,NL,ILT OA Operator,,ILT OA Register,,https://www.droning4solar.nl,,NLD-OAT-009/02G
Droones Aerial Works,droones aerial works,NL,ILT OA Operator,,ILT OA Register,,https://www.droones.nl,,NLD-OAT-088/01G
Droonstra,droonstra,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-010/02G
DSDP B.V.,dsdp bv,NL,ILT OA Operator,,ILT OA Register,,https://dsdp.com,,NLD-OAT-202/01G
Dunea,dunea,NL,ILT OA Operator,,ILT OA Register,,https://www.dunea.nl,https://www.linkedin.com/company/dunea,NLD-OAT-320/01G
Dura Vermeer,dura vermeer,NL,ILT OA Operator,,ILT OA Register,,https://www.duravermeer.nl,https://www.linkedin.com/company/dura-vermeer,NLD-OAT-186/01G
Dutch Air Survey,dutch air survey,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-327/01G
Dutch Drone Gods,dutch drone gods,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.dutchdronegods.com/,,
Dutch Drone Gods B.V.,dutch drone gods bv,NL,ILT OA Operator,,ILT OA Register,,https://www.dutchdronegods.com/,,NLD-OAT-257/02G
Dutch Drone Group B.V.,dutch drone group bv,NL,DJI Enterprise Dealer,Enterprise Dealer (high priority),DJI Enterprise Website,"Annie M.G. Schmidtweg 134 1321NB, Almere | +31 085 201 7472 | info@droneland.nl",https://www.droneland.nl,https://www.linkedin.com/company/droneland,
Dutch Drone Group BV.,dutch drone group,NL,ILT OA Operator,,ILT OA Register,,https://www.droneland.nl,https://www.linkedin.com/company/droneland,NLD-OAT-012/05G
Dutch Drone Shows,dutch drone shows,NL,ILT OA Operator,,ILT OA Register,,https://dutchdroneshows.nl,,NLD-OAT-076/03G
Dutch Drone Survey BV.,dutch drone survey,NL,ILT OA Operator,,ILT OA Register,,https://dutchdronesurvey.nl,,NLD-OAT-042/02G
Dutch Inspect B.V.,dutch inspect bv,NL,ILT OA Operator,,ILT OA Register,,https://dutchinspect.nl,,NLD-OAT-225/01G
Dutchman DC,dutchman dc,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.dutchmandc.com/,,
Dutchman DC Droneworks,dutchman dc droneworks,NL,ILT OA Operator,,ILT OA Register,,https://www.dutchmandc.com/,,NLD-OAT-172/02G
Eagle Eye Inspection Services B.V.,eagle eye inspection services bv,NL,ILT OA Operator,,ILT OA Register,,https://eagle-eye-inspection.nl,,NLD-OAT-144/01G
Eagle Geomatics,eagle geomatics,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://eagle-geomatics.nl/,,
EBN Veiligheidsdienst,ebn veiligheidsdienst,NL,ILT OA Operator,,ILT OA Register,,https://www.ebn.nl,,NLD-OAT-287/01G
Energielabel Oost,energielabel oost,NL,ILT OA Operator,,ILT OA Register,,https://www.energielabeloost.nl,,NLD-OAT-279/01G
Enevate,enevate,NL,ILT OA Operator,,ILT OA Register,,https://www.enevate.com,,NLD-OAT-187/05G
Epic Aero,epic aero,NL,ILT OA Operator,,ILT OA Register,,https://epic-aero.com,,NLD-OAT-124/02G
Eye Watch Security Group B.V,eye watch security group bv,NL,ILT OA Operator,,ILT OA Register,,https://www.eyewatchsecuritygroup.nl,,NLD-OAT-307/01G
EyeFly,eyefly,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.eyefly.nl/,,
EyeFly B.V.,eyefly bv,NL,ILT OA Operator,,ILT OA Register,,https://www.eyefly.nl/,,NLD-OAT-137/02G
Eyewings,eyewings,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.eye-wings.com/,,
Eyewings B.V.,eyewings bv,NL,ILT OA Operator,,ILT OA Register,,https://www.eye-wings.com/,,NLD-OAT-090/01G
Faculteit Lucht- en Ruimtevaarttechniek,faculteit lucht en ruimtevaarttechniek,NL,ILT OA Operator,,ILT OA Register,,https://www.tudelft.nl/lr,,NLD-OAT-149/02G
"Faculty of Civil Engineering & Geosciences, TU Delft",faculty of civil engineering geosciences tu delft,NL,ILT OA Operator,,ILT OA Register,,https://www.tudelft.nl/citg,,NLD-OAT-021/01G
Falcker,falcker,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://falcker.com/,linkedin.com/company/falckerdronerobotics,
Falcker Innovations B.V.,falcker innovations bv,NL,ILT OA Operator,,ILT OA Register,,https://falcker.com/,,NLD-OAT-101/01P
Feniks Film,feniks film,NL,ILT OA Operator,,ILT OA Register,,https://www.feniksfilm.nl,,NLD-OAT-075/01G
Fields Nederland,fields nederland,NL,Drones.nl - luchtfotografie,,Drones.nl Directory,,https://www.drones.nl/bedrijven/fields-nederland,,
Flying Media,flying media,NL,ILT OA Operator,,ILT OA Register,,https://flyingmedia.com,,NLD-OAT-268/01G
Fotografie van de Biezen,fotografie van de biezen,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-163/03G
Fotopiloot,fotopiloot,NL,ILT OA Operator,,ILT OA Register,,https://fotopiloot.nl,,NLD-OAT-102/01P
Frank de Bruijn,frank de bruijn,NL,ILT OA Operator,,ILT OA Register,,,,NLD-OAT-216/01G
Fuchszeug B.V.,fuchszeug bv,NL,ILT OA Operator,,ILT OA Register,,https://www.fuchszeug.com,,NLD-OAT-230/02G
Gadgethouse.nl,gadgethousenl,NL,Drones.nl - droneshops,,Drones.nl Directory,,https://www.drones.nl/bedrijven/gadgethouse,,
Gemeente Ede,gemeente ede,NL,ILT OA Operator,,ILT OA Register,,https://www.ede.nl,,NLD-OAT-185/01G
Gemeente Emmen,gemeente emmen,NL,ILT OA Operator,,ILT OA Register,,https://www.gemeente-emmen.nl,,NLD-OAT-315/01G
Gemeente Groningen,gemeente groningen,NL,ILT OA Operator,,ILT OA Register,,https://gemeente.groningen.nl,,NLD-OAT-197/01G
Gemeente Hoeksche Waard,gemeente hoeksche waard,NL,ILT OA Operator,,ILT OA Register,,https://www.gemeentehw.nl,,NLD-OAT-103/01G
Gemeente Losser,gemeente losser,NL,ILT OA Operator,,ILT OA Register,,https://www.losser.nl,,NLD-OAT-282/01G
Gemeente Rotterdam,gemeente rotterdam,NL,ILT OA Operator,,ILT OA Register,,https://www.rotterdam.nl,,NLD-OAT-224/01G
Gemeente Texel,gemeente texel,NL,ILT OA Operator,,ILT OA Register,,https://www.texel.nl,,NLD-OAT-259/01G
Gemeente Venlo,gemeente venlo,NL,ILT OA Operator,,ILT OA Register,,https://www.venlo.nl,,NLD-OAT-324/01G
Geo-Verde,geoverde,NL,ILT OA Operator,,ILT OA Register,,https://geo-verde.com,,NLD-OAT-082/01G
Geometius,geometius,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://www.geometius.nl/,,
Geometius B.V.,geometius bv,NL,ILT OA Operator,,ILT OA Register,,https://www.geometius.nl/,,NLD-OAT-107/01G
GeoZICHT,geozicht,NL,DCRO Certified Operator,,DCRO,"DCRO member (€500/yr, OA holders only)",https://geozicht.nl/,,
