"Company","Countries","Industries","Mentions","Signals","Website","Latest Article URL","Latest Article Date"
"AeroSmart","United Arab Emirates","","2","DEPLOYMENT; OTHER","https://www.aerosmart.ae","https://www.linkedin.com/feed/update/urn:li:activity:7439982371896205312/","2026-03-18T11:26:14.682+00:00"
"Drone Force","","Public Safety & Emergency Response","2","DEPLOYMENT; PARTNERSHIP","","https://www.linkedin.com/feed/update/urn:li:activity:7438671889885093888/","2026-03-16T06:08:25.693+00:00"
"AERONEX","China; UAE","","2","DEPLOYMENT; EXPANSION","https://www.aeronex.ae","https://www.linkedin.com/pulse/dji-dock-3-introduces-new-urban-governance-model-changshas-hkctf","2026-03-16T19:26:14.682+00:00"
"Flock Safety","US","Perimeter Security & Smart Facilities","1","DEPLOYMENT","https://www.flocksafety.com","https://news.google.com/rss/articles/CBMivgFBVV95cUxNRUFtNmZnQmtOcUhIVW5xaFdLQ29TOVNTamh5Mk03enlHNldBY2h3ZTFxaDh2eGpnR1J2M3JxYWRZd0p4YUlUWXpFTlJBZ3BzbFJEUHcwclNiZUFrWEV3OXVNRHNLMTRzeGFWOC1tUXpXSFRrYjQ4SUFJdVBLVzA2NjZBRHZxdEg5R3hkZE1QaE5fV0Jla0RZaVp0dWhEemFDRngwbUFjTHZsT3ljMkNjS3F3ektlaHJSSzFBMkNB0gHGAUFVX3lxTE1qaGJlTDFkUVE3cWJaMWJ1a2FRQTdKQXdXNTJKRm9CRGJoMy1OOG5vWlhVbG5waVdBTjhheWZieGF0ZUxqWThraUVCSW9uY2pzU3VWbjZZVUh4Ql9RcTNfeUFZNWxEeHlKTVpVYVBuR21iVThpQkFtZGdzVVowM3l1MTU4YW9jNWFrQWwzWUt1ZXR3and0cERJNzJsRHJ5dmpjVEVTcDJGaGpFQ2lqM29NWkQtRllfMGFyZXZfa3ZvVHBfNE5KUQ?oc=5","2025-09-30T07:00:00+00:00"
"Volatus Aerospace Inc.","North America","Energy & Utilities","1","CONTRACT","https://volatusaerospace.com","https://news.google.com/rss/articles/CBMipwJBVV95cUxQYUpQR1dwVjNXSDBrX2dvZmJLdjVmTGRQeWFCOFN5VzVWTUhoTmpLaTJKQ3gyNllNOVZMZnFTUnhCZ0FmWlNXalkycXFnc3EzaWh6MGo1eXREWHdQbllFcHctT3BBNk9wYlE4bVdpTFA1RU93RzJuZTRNRHZ2QUtQWHBQb3V6OER0NHNqNHAxRHIyR2VyYXhTMC1LSFNlNEotNF8zQy1NYjJyR3R3cnRweUhSbl9UeUYxalJZMFRfQkxxcUU2R096ODZwc0psQk4zdElyQl9IS0V6elI1YVZHZDlJN0ZLbVktXzlkVkhpbzcyVnROWlYtZTZqUUVVcUVZSF9Jc2VpRnNNQmJsX09vQzRtTDU2UzR4TllTYTlPN0E1bFFRbGpr?oc=5","2025-09-16T07:00:00+00:00"
"Fuvex","Spain","Oil & Gas / Industrial Assets","1","EXPANSION","https://www.fuvex.com","https://news.google.com/rss/articles/CBMiygFBVV95cUxPQ3JVLWttQTFRbjZydDUtc0hQVGpFS3J0a2JrdDdIbE5nODV6S3RUMzAwamhlazlNTmtlRjBraUxfcWplWnpfYmFfSW1ERllmSEo1NGNtZFIyUFZuZFB1NUZ6eG5OekpVQTJxVWRvb2lZRnFKUGN0QzJ4cFBHNl9nNFlJRml2dFVBWlN2NHNKeXpvdTZRa2xCODNmWDl4YVhmOEozNzVSWkhIMFhYUy12R251ZlhpZGVsTTZ2S2RfMk9NOWtYMHBhZUNR?oc=5","2025-10-20T07:00:00+00:00"
"SkyBound","UK","","1","EXPANSION","https://www.skybound.tech","https://www.linkedin.com/feed/update/urn:li:activity:7416501759931715584/","2026-01-19T06:08:25.695+00:00"
"Falcon Unmanned Systems","USA","","1","DEPLOYMENT","https://www.falconunmannedsystems.com","https://www.linkedin.com/feed/update/urn:li:activity:7439022840710049792/","2026-03-15T19:26:14.682+00:00"
"ZenaTech","USA","Construction & Infrastructure","1","EXPANSION","https://www.zenatech.com","https://news.google.com/rss/articles/CBMivwFBVV95cUxOcmxZckRvNVIwdWYwejhBMTRRRk1SU0lHYndETF9yaDRqSEQxLTdTNVlNdFgxazl0NEt4eFNpSERuQzBpelpYSnJrLWxpSEdsY0RndTBfN0czTGRhMGpDTXRuX3lpSW10cGtXMXBsVzNfWWVZSHVOQzBVb2tHT3hGUFc3TXU2NFdzeGVVN3JJalZVR1ExcXVLNkVaRzRoR0tiSjBCTUJlYkdVVWxwVWt4dWl4eDdvT2xnTXA4Ni0yQQ?oc=5","2025-09-23T07:00:00+00:00"
"Team UAV","UK","","1","OTHER","https://www.teamuav.uk","https://www.linkedin.com/feed/update/urn:li:activity:7437534102741876737/","2026-03-11T19:26:14.682+00:00"
"Prosper","USA","Public Safety & Emergency Response","1","CONTRACT","","https://news.google.com/rss/articles/CBMijAFBVV95cUxNYXJ2cFE2akNsbFBXVjM1V2pYTS12SDZfMVNpbFNxVDZUQVdZY1ZOdGxGTER4LTRXeXpDNk1IMHVVLTJ4WElEMVBQU0VFVTlYaXlBTVJmTTV3cXd2QThyV0hfRkNxQ2dKZ0U3VlBpTTQ4SEl2NHZYVl9rTV9YeXBfNkpPUzFhQ01BbTlRc9IBkgFBVV95cUxOUEk4bk44X0RNWm5CWC1GRTVNU241N3VGU0lxbEg5VjBTbENpem5BTFdsamlQRXNPODc2UTRGSWhLcGM5QkluVGZNS085X2tNY0lEcnBNS1NlQ0NnNlAwaF9ZdDZ2cUFEVHBGNWJkQkp2SVpTRzlDZjRBMHhSOGk4aFJUZVFZdDhvOWgzdWFNUEE1Zw?oc=5","2025-09-15T07:00:00+00:00"
"Oil Well Security","""; A; S; U; [; ]","","1","DEPLOYMENT","https://oilwellsecurity.com","https://www.linkedin.com/feed/update/urn:li:activity:7439830492222484480/","2026-03-18T01:26:14.683+00:00"
"24/7 Drone Force","South Africa","","1","DEPLOYMENT","https://24-7droneforce.co.za","https://www.linkedin.com/feed/update/urn:li:activity:7416130232019177472/","2026-01-19T06:08:25.695+00:00"
"Amber Wings","India","Public Safety & Emergency Response","1","DEPLOYMENT","https://www.amberwings.co","https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5","2025-09-15T07:00:00+00:00"
"Garuda Aerospace","India","Public Safety & Emergency Response","1","DEPLOYMENT","https://www.garudaaerospace.com","https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5","2025-09-15T07:00:00+00:00"
"Marut Dronetech","India","Public Safety & Emergency Response","1","DEPLOYMENT","https://marutdrones.com","https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5","2025-09-15T07:00:00+00:00"
"AECA Solutions","Malaysia","","1","PARTNERSHIP","https://www.aeca-solutions.com","https://www.linkedin.com/feed/update/urn:li:activity:7358006540638834688/","2025-08-18T19:43:49.189+00:00"
"Prisma Technologies","Australia","","1","DEPLOYMENT","https://prismatech.com.au","https://www.linkedin.com/feed/update/urn:li:activity:7386197031150690304/","2025-11-18T19:43:49.189+00:00"
"Droneologist","United Arab Emirates","","1","DEPLOYMENT","https://droneologist.co.uk","https://www.linkedin.com/feed/update/urn:li:activity:7321403468244504577/","2025-05-18T19:43:49.189+00:00"
"VEC International FZCO","United Arab Emirates","","1","DEPLOYMENT","https://www.dronenet.ae","https://www.linkedin.com/feed/update/urn:li:activity:7321403468244504577/","2025-05-18T19:43:49.189+00:00"
"Sky Ladder Drones","United Arab Emirates","","1","DEPLOYMENT","https://skyladderdrones.com","https://www.linkedin.com/feed/update/urn:li:activity:7321403468244504577/","2025-05-18T19:43:49.189+00:00"
"Terra Drone Arabia","","","1","DEPLOYMENT","https://terra-drone.com.sa","https://www.linkedin.com/feed/update/urn:li:activity:7432500492951470081/","2026-02-25T19:26:14.683+00:00"
"Aeronex FZCO","China","","1","DEPLOYMENT","","https://www.linkedin.com/pulse/247-automated-aerial-patrols-how-dji-dock-enables-smart-highway-wplhf","2026-02-19T06:08:25.695+00:00"
"Importadora Lillo SpA / Heliboss Chile","Chile","Other: Drone Distribution","1","PARTNERSHIP","","https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5","2025-10-23T07:00:00+00:00"
"Heliboss Chile","Chile","Other: Drone Distribution","1","PARTNERSHIP","https://djichile.cl","https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5","2025-10-23T07:00:00+00:00"
"Heliboss México","Chile","Other: Drone Distribution","1","PARTNERSHIP","","https://news.google.com/rss/articles/CBMivgFBVV95cUxPR0dvaGhDdEJvanBlTDZHcWNtZlZHdDhQWHlzNk5zREh1M0JsWmxJMGs5MWJJY3o0T3Vta2ZuMW1XaWYyUnZqREZWNHdZdERFdnVha1U2Y0ZjRFQwODk3blRtMHltT3pSVTJGYzF5Tk1DUWtpa3hIYThJM0M1NVdXODRESUNYY3N2QzBTRUVzZ0ZqR00zdk45N29UaXVvYUVuR3dKVnVyUERNRW9WazZSdjhMd3Y1OG9UdjNRbTJn?oc=5","2025-10-23T07:00:00+00:00"
"GS5 Systems","","","1","PARTNERSHIP","https://gs5.systems","https://www.linkedin.com/feed/update/urn:li:activity:7440079594818260992/","2026-03-18T17:26:14.683+00:00"
"DroneCloud","","Construction & Infrastructure","1","DEPLOYMENT","https://dronecloud.io","https://news.google.com/rss/articles/CBMixAFBVV95cUxPekxmSXVTQ1dYeGJIQ29yaDZTMVNvNmh5Yk5rdVQxQ3oyakJXN0ZKWXJBMHdab1pRTEJpamdkLVYwNDRKY295MVF0QkZkRnJJVzhZTU1JTWU3TmZxdF9vQ3g4QUZ4MWRtWFF4am44dDRJMnAtdzFDYXhJaHU0WTIteHE0U2VxTzViT1FsTW5CYWF1dGhmSEVyc2hNQ2FobWNhQmFGc0ItRi1lNlF2dmU4M3RTQmVLZXJ2U1BPQ3I0a2ZaTDY0?oc=5","2025-09-25T07:00:00+00:00"
"Cody Corporation","","","1","PARTNERSHIP","https://codycorp.com.au","https://www.linkedin.com/pulse/how-dji-dock-transforming-time-sensitive-projects-cody-corporation-pccuf","2025-03-18T19:26:14.684+00:00"
"XDRON","","","1","PARTNERSHIP","https://www.xdron.ae","https://www.linkedin.com/feed/update/urn:li:activity:7433805909484564480/","2026-03-04T19:26:14.684+00:00"
"Changsha","China","","1","DEPLOYMENT","","https://www.linkedin.com/pulse/dji-dock-3-introduces-new-urban-governance-model-changshas-hkctf","2026-03-16T19:26:14.682+00:00"
"Urban Management (department)","China","","1","DEPLOYMENT","","https://www.linkedin.com/pulse/dji-dock-3-introduces-new-urban-governance-model-changshas-hkctf","2026-03-16T19:26:14.682+00:00"
"Fire Services (department)","China","","1","DEPLOYMENT","","https://www.linkedin.com/pulse/dji-dock-3-introduces-new-urban-governance-model-changshas-hkctf","2026-03-16T19:26:14.682+00:00"
"Environmental Agencies (department)","China","","1","DEPLOYMENT","","https://www.linkedin.com/pulse/dji-dock-3-introduces-new-urban-governance-model-changshas-hkctf","2026-03-16T19:26:14.682+00:00"
"Anji County","China","","1","EXPANSION","","https://news.google.com/rss/articles/CBMivgFBVV95cUxOUzRTY1pkSXNZWVNPUkc0LXR3S002QWxzVmpPQ2NUR09PcDBlSURYc0Q3TFdWOGs3allTZjhCSWJyQ3p1bElWdk9NN1VBd2tJd0F0QnF2VFlUdlZzVHI4RGU1Y0FlbGtNLVp1VmsyLXFySmowa2tOSUJWU21YQk55WFctbDBUdko4cTJsTFpweGhVY3lqLU8yR2NGbGgwZEt2Qm51THlkWVNLaGw3RkpNRXdVWmhzT3RCSk9EejNB?oc=5","2026-02-05T08:00:00+00:00"
"Austintown Fire Department","US","","1","DEPLOYMENT","","https://news.google.com/rss/articles/CBMicEFVX3lxTE1WT3ljWlZJcW5TNDZaWnRmYVhPVzZ0dmRaREtLdE8tNDRUNEltRERxTzRySmM4MXB2d1pTNlp6V0NweEQ0bmdwMnR6bDhSRHNwVHBRM01rNDRWMUNqS05BREROdm5vOFRqUHl6a3BuTjQ?oc=5","2026-02-11T21:34:21+00:00"
"Dexa","US","","1","DEPLOYMENT","https://www.flydexa.com","https://dronelife.com/2026/03/xx/grubhub-and-dexa-launch-new-jerseys-first-drone-powered-food-delivery-program/","2026-03-18T09:52:58.411+00:00"
"BlackSea","","Other: Training & Certification","1","PARTNERSHIP","https://blackseatechnologies.com","https://news.google.com/rss/articles/CBMiugFBVV95cUxNaDJ1N1hHQXZLcWt6NElWQXVQM2VuSXBMWi1CWDJ1X2lJaDZRWjV4eUNOZV9IZ2JHZ3ltcDJDbzNoZFhROW5iRHpGX0twdlFIUVM4ekJ1OWltOUFadnE4SkZLdXZORVJwSE5nX2NBQVpOZDc4by1VTUtSUHVqOTNMMWFEY3FRaXJobWYtYUwwQnVYcDhzZjRxcmVNWnd2dXl6TGxCZWtHQXFpT1pCZURxaTJ2dnRCZnRtT3c?oc=5","2025-09-30T07:00:00+00:00"
