Company Name,Responsible Person
Priyan Devapriya,Priyan Devapriya
Aerovironment Inc.,David Aguilar
Airloom Inc.,Jason Johnson
"General Dynamics Information Technology, Inc",Girard Tell
Michael James Bittle,Michael Bittle
Anthony Chuang,Anthony Chuang
Goochland County Sheriff's Office,Kevin Forman
Garon Atencio,Garon Atencio
Kai Hill,Kai Hill
Brett Tiagwad,Brett Tiagwad
MidAmerican Energy Company,Brian Knights
Gabriel Wagner,Gabriel Wagner
Andrew Lollie,Andrew Lollie
David Cherry,David Cherry
Brad Johnston,McMinn County Sheriff's Department
MTA Bridges and Tunnels,Estiward Medina
Peter Keller,Peter Keller
Daniel Fontana,Daniel Fontana
Drone View Services,Wade Olsen
Kieran Christian,Kieran Christian
GreenSight Agronomics,James Peverill
Minneapolis Police Department,Roger Moua
Adam McGhee,Adam McGhee
Mortenson DCS-G+,Nick Kantor
Censys Technologies,Rob Knochenhauer
Ski Slingsby,Ski Slingsby
ISight Drone Services,Jackson Frankenhoff
Gerrittsen Beach Fire Department,Daniel Cavanagh
Massachusetts Dept of Transportation - Aeronautics Division UAS,Christopher Bailey
Unmanned Safety Institute,Devin Allen
Dana Evans,Dana Evans
Alexander Rueter,Alexander Rueter
Andrew Espindola,Andrew Espindola
Rainmaker Technology Corporation,Sam Kim
Gabe Patton,Gabe Patton
Susquehanna Regional Police,Leon Sosnoski
Mequon Police Department,Mark Riley
Friendship Fire Company #2,Carcheri Gingrasso
Bradley Henderson,Bradley Henderson
Glyphix Systems LLC,Manuel Garcia
Anduril Industries,Tyler Sterkel
Charlie Krueger,Charlie Krueger
Justin Padgett,Justin Padgett
Ron Henson,Ron Henson
Andrew Espindola,Andrew Espindola
GreenSight Agronomics,James Peverill
Stephen Warr,Stephen Warr
Zeitview,Stephen Bossert
Tanner Beard,Tanner Beard
AIRWOLF Drones LLC,Wolfgang Weber
Rockbridge Regional Public Safety Communications Center,David Wheeler
Maksym Samoilenko,Maksym Samoilenko
Atlanta Police Foundation,Gregory McNiff
Fowado Technology Group,Joshua Ortiz
Anduril Industries,Tyler Sterkel
Washington County Sheriff's Office,Justin Scott
Nicky Alfieri,Devon Fails
Florida Power & Light Company,Heath McLemore
"Illumin Drone Shows Company, LLC",Christian Ilumin
"Miand, INC.",Kelley Hatfield Turley
Cat Financial,Adam Stockett
Abington Township Police Department,Ryan Duntzee
Tyro Fire Department,Billy Simerson
Freetown Police Department,Scott Rose
Joseph Morey,Joseph Morey
Skye Dreams LLC,Terry Toews
Donald Vaughn,Donald Vaughn
Florida Power & Light Company,Heath McLemore
Celestial Laboratories Ltd,Glenn Reese
Aerial Innovation Solutions LLC,Sean Lucas
University of Texas at El Paso,Michael McGee
"LandSkyAI, LLC",Camryn Huff
"LandSkyAI, LLC",Camryn Huff
The University of Texas at El Paso - Bird Group,John Bird
Sunflower Labs,Alex Pachikov
York County R.O.V.E.R. Team,Kenneth Elliot
Grizzly Entertainment LLC,Iacovos Maifoshis
City of Federal Way Public Works,Curtis Moser
Alare Technologies LLC.,David Webb
William Chase,William Chase
City of Pittston - Bureau of Fire,John Ankenbrand
Pilot Institute,Jason Wood
Cecil Cupid,Cecil Cupid
Agile Images LLC,Howard Gardner
Daniel Fisk,Daniel Fisk
Adhoc Creative House LLC,Mason Hayes
McMinn County Emergency and Rescue Squad INC,Jeremy Moore
Hadrien Perrin,Hadrien Perrin
Texas Drone Company,Jacob Sibert
Atmosphere Drones,Paul Charbonnet
Alaska Remote Imaging,Oliver Cotter Nannestad
Pittsburgh Post-Gazette,Andrew Rush
Alison Miller,Alison Miller
ASARCO,Henry Hernandez
Skydio Inc.,Madison Taylor
Skydio Inc.,Madison Taylor
Skydio Inc.,Madison Taylor
Skydio Inc.,Madison Taylor
Dominion Energy,Tom Butler
Mortenson DCS-G+,Nick Kantor
"Lexicon, Inc.",Andrew Ertzberger
"Lexicon, Inc.",Andrew Ertzberger
"Lexicon, Inc.",Andrew Ertzberger
"Skydio, INC",Tim Baker
Sacramento County Sheriff,Andrew Swift
Flying Lion Inc.,James Richardson
Cleveland Clinic Media Production,Michael Wallace
Klint Krebs,Klint Krebs
Flying Lion Inc.,James Richardson
Skydio Inc.,Madison Taylor
Marlin Troup,Marlin Troup
James Royal,James Royal
Lancaster County Sheriff's Office,Robert Marshall
"Drone The News, Inc",Zachary Huffman
Sara Montgomery Hanson Nicholl,Sara Hanson Nicholl
SAN DIEGO GAS & ELECTRIC,CHRISTINE ASARO
"SB Flight Training, LLC",Devon Edwards
Quantum Systems,Scott Akina
Augusto Medeiros dos Santos,Augusto Medeiros dos Santos
Florida Power & Light Company,Heath McLemore
NASA Ames Research Center,Jonas Jonsson
Caltrans Division of Construction,Aaron Chamberlin
Dylan Arnone,Dylan Arnone
Idaho Power Company,Mike Spengler
Shaun Sorensen,Shaun Sorensen
ERAU UAS-S Research,Nickolas Macchiarella
Phoenix Knight LLC,Robert Schneider
Harris County Sheriff's Office,James Toner
Edward Williams,Edward Williams
"Peter Pan's Backyard Drones, LLC",Blane Townsend
Airspace Experience Technologies,Nandella Penn
Jason Rhee,Jason Rhee
Mitchell R Milavec,Mitchell Milavec
Upper Valley Wilderness Response Team,Thomas Frawley
Derek Dragojevic,Derek Dragojevic
Burlington Volunteer Fire Department,Stephen Michna
Live Nation Entertainment,John Nieman
AASO,Bart Bauer
Alex Nye,Alex Nye
Overhead Intelligence,Roger Oneill
Motor City Electric Utilities,Christopher Binnall
Zipline (Delivery Ops),Eugene McGuinness
Dronescape,Joe Valasquez
"Causey Aviation Unmanned, Inc.",Jeffrey Causey
Justin Rice,Justin Rice
Embry-Riddle Aeronautical University,Joseph Cerreta
MUSSIE HADGU BELAY,MUSSIE BELAY
Sky Elements LLC,Tyler Johnson
Tomahawk Robotics,Darren Higgins
Shell International E&P Inc.,Ross Doak
El Reno Police Department,David Beaty
New England K9 Search & Rescue,Jocelyn Stohl
Concordia Parish Sheriff's Office,Randall Gohn
Montgomery County Sheriff's Office,Samuel Harrison
Brad Garrett,Brad Garrett
Edwin Nunez,Edwin Nunez
Michael Luna,Michael Luna
Ricky J Sturman,Ricky Sturman
Ray Wilkerson,Ray Wilkerson
Eric Alger Bourn,Eric Bourn
SAN DIEGO GAS & ELECTRIC,CHRISTINE ASARO
James Daniel Bieber,James Bieber
Consumers Energy,Benjamin Strandskov
Cape May Aerial Advertising LLC,Jeromie Hunter
Bazar Imagination Group LLC,Michael Cummings
Ameren,James Pierce
SAM LLC,Gary Niemeyer
David Earley,David Earley
Massachusetts Dept of Transportation - Aeronautics Division UAS,Christopher Bailey
Southern Company Services INC,Slade Bridges
Casey Varnum,Casey Varnum
Big Sky Aerial Solutions,Austin Seback
Dallas Township Police Department,Brian Feeney
Drones Made Easy,Brian Yates
Alexander Franca,Alexander Franca
DARPA Triage Challenge,Yunyan Wang
Pulse Drones LLC,Griffin Crown
Eduardo Vargas,Eduardo Vargas
Eric McDermott,Eric McDermott
Osmose Utilities Services,Jonathan Harris
Choctaw Nation of Oklahoma,Marcus Hartman
Chris Randall,Chris Randall
City of Wayland Police Department,Jordan Cadahia
Ocean County Sheriff's Office,Kevin Fennessy
Monroe County Sheriff's Department,James Kirkpatrick
7th Judicial Major Crimes Unit,James Harrington
"AeroTSC, LLC",Alex Kroll
Huron Clinton Metroparks Police,Matthew Rybar
Creative Skies,Rodrigo Serzedello
Intellition LLC,Sam Cutler
FlyLight Drone Shows,Blake Stoltz
Drone Studios,Jeff Stein
Woodway PSD,Jacob Canter
MFE Inspection Solutions,Cody Menchaca
Beyond Brilliant LLC,Josh Krzywonos
Xcraft,JD Claridge
New Hampshire Department of Corrections,Christopher Ward
Christopher Ryan,Christopher Ryan
Kurt Schultz,Kurt Schultz
Larry S Stover Jr,Larry Stover
Henry Hooker,Henry Hooker
Droneshow.com,Jesse Stone
Eric Dole,Eric Dole
Michael Denis Shea,Michael Shea
Brian Austin,Brian Austin
Jeff Schaeffer,Jeff Schaeffer
"Dynamic Perspectives, LLC",David Hill
Thomas Warman,Thomas Warman
Javier Castillo Jr,Javier Castillo
Vernon Hills Police Drone Unit,Andrew Gillespie
Devon Energy,Jared Markes
Steve Goldman,Steve Goldman
Peter Tweed,Peter Tweed
Axon Enterprise,William Sallee
North Salt Lake Police Department,Randon Carter
Clayco Inc,Antoine Tissier
"Nova Sky Stories, LLC",Evan Webster
Campus Sentinel,Eric Grile
Todd County Sheriffs Office,Kyle Drum
Luzerne County District Attorney's Office,Neil Murphy
Pittston City Police Department,Samuel DeSimone
Clatsop County Sheriff's Office,Bruce Scott
American Electric Power,Randy Lowe
Drew Serrette,Drew Serrette
GBR Drone and Robotics Team (DART),Noel Silva
Christian Ojala,Christian Ojala
Rainmaker Technology Corporation,Sam Kim
CamDrone,Dale Porter
Craig Pinto,Craig Pinto
Charles Lupton,Charles Lupton
Corleon Richardson,Corleon Richardson
Moss Photography,Victor Moss
Levi Johnson,Levi Johnson
Dept. of the Army Criminal Investigation Division,Michal Pirog
Chris Hill,Chris Hill
Iron Oak Energy Solutions,Phillip New
Drone On Demand,Patrick McBride
Bennett Schwaab,Bennett Schwaab
"Lexicon, Inc.",Andrew Ertzberger
Thales USA,Sean Roy
Alare Technologies LLC,David Webb
DoorDash,Jim OSullivan
Lockheed Martin,Christina Martinez
Owasso Police,Travis Harris
Santaquin Police Department,Braydon Golding
Oliver Price,Oliver Price
David Sutherland,David Sutherland
City of Charleston Police Department,Scott Newsome
City of Hilliard,Duane Powell
"Lee County, Florida",Dominick Boyd
SkySense AI Inc.,Justin Clune
EDM International,James Dwyer
Sean Qualy,Sean Qualy
James Homan,James Homan
Adam McLain,Adam McLain
Miguel Daly,Miguel Daly
U. S. Aerial Analytics,Andrew Keithly
American Electric Power,Randy Lowe
Blue Vigil,Carl Miller
Ryders Alley,Demian Neufeld
ASARCO,Henry Hernandez
"JERBCO, Ltd.",Justin Bregar
Uday Kumar Sripathi Panditharadhyula,Uday Kumar Sripathi P
David Carreno,David Carreno
James Crutchfield,James Crutchfield
Clinton Beasley,Clinton Beasley
"Harkins Builders, Inc.",Carlos Zuluaga
N. Tonawanda Police Dept.,Bradley Janzen
Folsom Police Department,Kyle Rader
Elmore County Sheriff's Office,Joshua Inman
Charlottesville Fire Department,Chad Bingler
University of Maryland UAS Test Site,Grant Williams
Frontier Precision UAS,Wyatt Robbins
University of Maryland UAS Test Site,Grant Williams
University of Maryland UAS Test Site,Grant Williams
University of Maryland UAS Test Site,Grant Williams
Innovation Center Aeronautics,Daniel Hernandez
"Aerial Pet Recovery, Inc.",Stuart Stakoff
FedEx Express,Joel Murdock
Tomasz Plaza,Anna Plaza
Westminster Schools,Antoinette Boyd
Mario Pleitez,Mario Pleitez
NUAIR Alliance,Eric Fleckten
Pogue Construction,Jonathon Gruenewald
Pogue Construction,Jonathon Gruenewald
Unmanned Vehicle Technologies,Matthew Rybar
Avol,Nathan Poon
Flytrex,Brent Eliason
Matthew Edwards,Matthew Edwards
Chris Mullins,Chris Mullins
New York Power Authority,Peter Kalaitzidis
Eric Thurber,Eric Thurber
Legacy Restoration LLC,Kyle Lautz
Brandon Ricketts,Brandon Ricketts
Tim Ryan,Tim Ryan
Ryders Alley,Demian Neufeld
West York Borough Police Dept.,David Kahley
Delaware State Police,Brett Creasey
COLSA,Christopher Cline
Luca Alexander Schneider,Luca Schneider
Hagen Rottke,Hagen Rottke
DJI,Javier Caina
Zipline (Delivery Ops),Eugene McGuinness
vFR Media LLC,Ryan Schmidt
"Clayco, Inc.",Antoine Tissier
"Clayco, Inc.",Antoine Tissier
Flying Lion Inc.,James Richardson
Eye-bot Aerial Solutions,Chris Dolly
El Paso County Search and Rescue UAS,Patrick Kerscher
Fil Moreno,Fil Moreno
Calloway County Sheriffs Office,Nicky Knight
Tooele County Major Crimes,Nicholas Yale
Richard Gerard Marcus,Richard Marcus
Austin Tompkins,Austin Tompkins
Tomahawk Robotics,Darren Higgins
Moss Photography,Victor Moss
CSX Technology,Patrick Barnett
"Clayco, Inc.",Antoine Tissier
"Clayco, Inc.",Antoine Tissier
The Pennsylvania State University,Lee-Roy Haarhaus
Oregon Ohio Police Division,Eric Weis
Manuel Amador,Manuel Amador
"Nova Sky Stories, LLC",Evan Webster
Chris Mullins,Chris Mullins
Conway Police Department,Shawn Baldwin
Denver Fire Department,Kyle McConnell
"AKDRONE, LLC",Thomas Tapp
Southern Company Services INC,Cody Michaux
Anduril Industries,Brad Burnett
CDM Smith,Michael Lemme
Mount Airy Police Dept.,Brandon Wright
Matternet,Alexander Norman-Elvenich
Reveille Peak Ranch LLC,Aimee Woolsey
Grand Sky Airfield Operations LLC,Dillon Gilmore
Duke Energy Corporation,Patrick Nemecek
Duke Energy Corporation,Patrick Nemecek
The Corradino Group,Scott Cavendish
Capon Springs Volunteer Fire & Resuce,Jacob Kirk
RIT Public Safety,John Potega
New York Power Authority,Peter Kalaitzidis
Zipline (Delivery Ops),Eugene McGuinness
Leidos Inc,Clarence Shockley
University of North Dakota,Paul Snyder
QuadSAT,Tobias Lundby
Mobile Police Department,Paul Callegari
Brookings Police Department,Austin Kreutner
Tomahawk Robotics,Darren Higgins
Fairfax County Police,Brad Woehrlen
Kendall Ware,Kendall Ware
The University of Texas at El Paso - Bird Group,John Bird
Thomas Kirk,Thomas Kirk
Archer Daniels Midland,Alex Powers
Devon Energy,Jared Markes
Jacob Herzog,Jacob Herzog
Christian Stallings,Christian Stallings
Robert H Haskell Jr,Robert Haskell
Flagler County BOCC,Seth Cribben
MachShots.com,Seth Linder
Colorado Springs Police Department,Matthew McLain
Anduril Industries,Brad Burnett
Anduril Industies,Brad Burnett
East Greenbush Police Department,Edward Ashley
Scott Bisher,Scott Bisher
Stanley Johnson,Stanley Johnson
Glen Goldsby,Glen Goldsby
Ted Parker,Ted Parker
James Crutchfield,James Crutchfield
Clayton Smith,Clayton Smith
Andrew Nguyen,Andrew Nguyen
Stephen Byrne,Stephen Byrne
Thomas Greenway,Thomas Greenway
Skaneateles Aerial Drone Photography,Sebastian Ibanez
Ryders Alley,Demian Neufeld
"HawkView Aerial Solutions, LLC",Craig Brewer
Nicole Bryant,Nicole Bryant
W&A Engineering,Michael Olin
Joshua Thurston,Joshua Thurston
James Willson,James Willson
Anthony Tortoriello,Anthony Tortoriello
Liam Wilkins,Liam Wilkins
Granite Construction NV,Donald McMurtrey
Pogue Construction,Jonathon Gruenewald
Alister Devins,Alister Devins
Nicholas Coates,Nicholas Coates
Sebastian Lima,Sebastian Lima
Aevex,Jeff Strebler
Wing,Chris Jackman
"Birdstop, Inc.",Keith Miao
Andrew Karp,Andrew Karp
Donald Davis,Donald Davis
Pima County Sheriff's Department,Troy Kranz
Buchanan County Sheriff’s Office,Jason Lowe
Sunflower Labs,Jeff Dickerson
Matthew M Chizmar,Matthew Chizmar
HighPoint AeroTechnologies,Christopher Lucas
Texas Drone Company,Jared Janacek
The University of Texas at El Paso - Bird Group,John Bird
todd seaman,Todd Seaman
Avista Utilities,Nick Lasko
Daniel Davila,Daniel Davila
Richard McIntyre,Richard McIntyre
Makiya Sol Crochiere,Makiya Crochiere
SKYi Drone Solutions LLC,James Bowes
City of El Paso,Juan Nevarez
vHive Tech Inc,Dylan Cronin
Churchill Five Forks Volunteer Fire Department,Stanley Brothers
Anne Arundel County Police Department,Jeffery Wilson
Bison Aviation LLC,John Atkin
Chad Kantlehner,Chad Kantlehner
Aaron Fedor,Aaron Fedor
Wing,Chris Jackman
Florida Highway Patrol,Robert Dooley
Daniel Burk,Daniel Burk
"American Robotics, Inc.",Brian Grant
Choctaw Nation of Oklahoma,Marcus Hartman
Terry Christensen,Terry Christensen
Michael Grimes,Michael Grimes
Parth Shah,Parth Shah
Vayu Aerospace,Gregory Gillette
Vayu Aerospace,Gregory Gillette
University of Illinois Police Department,Robert Benoit
Cherokee Nation,Cory Keele
Dakota County Sheriff,Sean Qualy
Palm Springs Police Department,Gary Zito
William M Mich Jr,Bill Mich
Aaron Capponi,Aaron Capponi
Newberry Township Police Department,Braxton Ditty
Samuel Maupin,Samuel Maupin
Matt Zahnweh,Matt Zahnweh
Georgia Department of Transportation,Demario Hall
Liberty University,Brayden Johnson
"Dynetics, Inc",Nick Harries
Logan Rouse,Logan Rouse
Ryan Keller,Ryan Keller
Paul Chan,Paul Chan
Zipline International Inc.,Eugene McGuinness
Stuart McAllister,Guy McAllister
Jon Brauer,Jon Brauer
Robert Leone,Robert Leone
J&D Equipment Hauling LLC,Joey Denney
City of Fort Wayne Police Department Air Support Unit,Michael Hickman
Alister Devins,Alister Devins
Hex Inc.,Curtis Lary
James Guetschow,James Guetschow
Robert Hehl,Robert Hehl
Transportation Engineering CoFW,James DeArmond
Leo Davis,Leo Davis
"Carotene, LLC",Marcell Haywood
Derek Steele,Derek Steele
"LandSkyAI, LLC",Tuvi Cohen
Transportation Engineering CoFW,James DeArmond
Sean Qualy,Sean Qualy
Chris Mullins,Chris Mullins
Oklahoma Highway Patrol,Scott Patton
Chesterfield County Police Department,Blaine Davis
GulfSar,Robbyn Ketner
Rochester Institute of Technology,Timothy Bauch
MidAmerican Energy Company,Brian Knights
David Rigg,David Rigg
Sparky's Video Productions,Scott Sorenson
Michael DeMarco,Michael DeMarco
Rensselaer County Public Safety/Sheriff’s Department,Todd Smith
Airspace Link,Alberto Post
DroneDeploy,Joseph Mente
Philipos Erikos Angelopoulos,Philipos Erikos Angelopoulos
Charles Lupton,Charles Lupton
University of Maryland UAS Test Site,Grant Williams
Alejandro Torres Carnero,Alejandro Torres Carnero
Kenneth Lambert,Kenneth Lambert
Samuel Kim,Samuel Kim
Orval Benson,Orval Benson
You Feng Ou,You Feng Ou
Prince George’s County Police Department,Edwin Robertson
gary@ault.cloud,Gary Ault
Thomas Dowell,Thomas Dowell
Rockland Fire & EMS Department,William Pendleton
Muskingum County Sheriff's Office,Tanner Morton
Alisha Noelani Washburn,Alisha Washburn
Eversource Energy,Stephen Michna
Paul Shepard,Paul Shepard
Andrew Arellano,Andrew Arellano
Jason el Moussa,Jason el Moussa
Town of Warrenton Virginia Emergency Management,Johnny Switzer
Vergil Johnson,Vergil Johnson
Zach's Drone Photography/Videoography,Zachary Henderson
Brent Ziegler,Brent Ziegler
Michael McNulty,Michael McNulty
Eric Coppa-Cross,Eric Coppa-Cross
Devon Energy,Jared Markes
Marc Wrolsen,Marc Wrolsen
Joseph Lankford,Joseph Lankford
Matthew Bussman,Matthew Bussman
MAGEN Chicago,Hiam Naiditch
Carlos Herrera,Carlos Herrera
Drone On Demand,Patrick McBride
Alaska Remote Imaging,Oliver Cotter Nannestad
Moss Photography,Victor Moss
Aerius Focus LLC,Suzanne Herring
Austin Sarmiento,Austin Sarmiento
Bayley Chotena,Bayley Chotena
Shell International E&P Inc.,Ross Doak
Jaime Montenegro,Jaime Montenegro
North Central Pennsylvania Unmanned Emergency Services (Dept. 50),Ronald Warren
Montaser Bassiouni,Montaser Bassiouni
New York Power Authority,Peter Kalaitzidis
Rendy Lynn Opdycke,Rendy Opdycke
Joe Polillio Productions LLC,Joseph Polillio
Jeffrey Noreman,Jeffrey Noreman
Gabriel Rivolta,Gabriel Rivolta
Brandan Boynton,Brandan Boynton
David Risner,David Risner
"Hover Solutions, LLC",Stuart Showalter
Richard Eckstein,Richard Eckstein
David Wheeler,David Wheeler
Sam Cornwall Studio,Samuel Cornwall
Estarlin De La Rosa,Estarlin De La Rosa
Sky Candy Studios,Michael Welsh
John Zaenglein,John Zaenglein
PJ Helicopters,Andrew Thayer
kevin doherty,Kevin Doherty
christopher ide,Christopher Ide
Julio Angel Lopez Quintana,Julio Lopez
Brian Stearmer,Brian Stearmer
Bradley Holmes,Bradley Holmes
AMK Films,Aaron Kahn
Trevor Perkins,Trevor Perkins
Jon Dodds,Jon Dodds
Austin Tompkins,Austin Tompkins
Edward Wuillermin,Edward Wuillermin
Alaska Remote Imaging,Matthew Gutacker
Dylan Lynch,Dylan Lynch
Lukas Rudis,Lukas Rudis
wsdurham,William Durham
Jeremy Mannin,Jeremy Mannin
Kyle Sawatzke,Kyle Sawatzke
Steven Jones,Steven Jones
Andre Picard,Andre Picard
Cooperative Energy,Stephen McCain
Eric Miamen,Eric Miamen
"ArgenTech Solutions, Inc.",Rita Castonguay-Hunt
Rion Stephenson,Rion Stephenson
Pyrotecnico,Adam Nickerson
"Peter W. Rulon, LLC",Peter Rulon
Supreme Detailing Services LLC,Stanley Hundley
Gresco,Jim Baker
ReadyMonitor Inc.,Jesse Stepler
Alare Technologies LLC.,Patrick Ailes
Charles Graphman,Charles Graphman
Eric Wang,Eric Wang
Jack Hawkins,Jack Hawkins
Colorado Springs Utilities,Paul Clifton
Kary Wall,Kary Wall
Robert Hart,Robert Hart
Gary Goodloff,Gary Goodloff
Joshua Inman,Joshua Inman
COLSA,Christopher Cline
Horizon Adventure Drone Services,Daniel Barkhuizen
"TPS At Fort Mac, LLC",Christian Cherniak
Ned Stacey,Ned Stacey
Carlton R Lewis,Carlton Lewis
Jarod James Wescott,Jarod Wescott
Adrian Pueyo,Adrian Pueyo
Massachusetts Dept of Transportation - Aeronautics Division UAS,Christopher Bailey
Caltrans Division of Construction,Aaron Chamberlin
Harry Simpson,Harry Simpson
Justin Hugge,Justin Hugge
Jim Ray,Jim Ray
"Titan Monitoring, Inc.",Ryan Smith
ExxonMobil,Jonathan Cain
LuluPepper Media LLC,Randall Langton
Steve Riley,Steve Riley
"Skymagic US, Inc.",James Blanchard
Kent State University,Jason Lorenzon
Disney/ABC News,"Jim Blanchard, ScD"
Frontier Precision UAS,Wyatt Robbins
BPope Productions,Brandon Pope
Christopher Underwood,Christopher Underwood
James Schmalbach,James Schmalbach
Orchard Park Fire District,Wilhelm Aubrecht
Alare Technologies LLC.,Patrick Ailes
Valentine Brand,Robert Valentine
Pender EMS and Fire,Noah Hoffer
Montgomery County Emergency Management Agency,Brian Hamman
North Middleton Fire Company,Garth Fanus
East Madison Fire Territory,Josh Hendrick
"FINES AERIAL IMAGING, LLC",Stephen Fines
John Harding,John Harding
Christopher Swiatek,Christopher Swiatek
James Karp,James Karp
Edward Esmao,Edward Esmao
Gregory Whitlock,Gregory Whitlock
Austin Diotte,Austin Diotte
John Apkarian,John Apkarian
Regents of the University of California,Brandon Stark
"Enable Creative, LLC",Jake Butters
Andrew Stauffer,Andrew Stauffer
Unmanned Vehicle Technologies,Matthew Rybar
Justin Ostrander,Justin Ostrander
Stephen M Gardner,Stephen Gardner
James Billue,James Billue
BZ Aerial,Robert Ziady
Maximilian Goessing,Maximilian Goessing
RTX BBN,Aaron Adler
Troy Sakihara,Troy Sakihara
Zeitview,Jesus Caballero
Curt Fargo,Curt Fargo
Rick Poyner,Rick Poyner
John Vasilenko,John Vasilenko
Michael Holzwarth,Michael Holzwarth
Michal Gabryel,Michal Gabryel
Dax Neal,Dax Neal
DANIEL SANCHEZ,Daniel Sanchez
"Phoenix Air Unmanned, LLC",William Lovett
"Lucky Drone Services, LLC",Jeremy Irish
John Cannon,John Cannon
Andrew Graziano,Andrew Graziano
Tavian Garrett,Tavian Garrett
The Aerial Filming Company,James Colucci
Distro 10 Inc.,Alan Shamoun
Datapoint,Michael Wight
"Skymagic US, Inc.",James Blanchard
Chandler Tingle,Chandler Tingle
Hunter Heimburger,Hunter Heimburger
New Media Studio,Douglas Kivett
"J3 Company, LLC",Austin Sissom
Anthony Piersanti,Anthony Piersanti
Robert Ward,Robert Ward
MAGEN Chicago,Hiam Naiditch
John Anthony,John Anthony
Kerry Snyder,Kerry Snyder
Paul Sweigert,Paul Sweigert
Walker Consultants,Ryan Griffin-Stegink
Michele Baker,Michele Baker
Kevin Chu & Jessica Paul LLC,Kevin Chu
Flytrex,Brent Eliason
Antonio Aguilar,Antonio Aguilar
Lucas Velozo,Lucas Velozo
American Electric Power,Randy Lowe
City of Merced IT,Jeffrey Kazmierski
Gavin Smith,Gavin Smith
Tim Michalak,Timothy Michalak
Benjamin Hardt,Benjamin Hardt
John Harlacker,John Harlacker
Michael Brian Erwin,Michael Erwin
Antonio Tur,Antonio Tur
Oregon State Police,William Bush
BE&K Building Group,Christopher Champion
kemper powell,Kemper Powell
Joshua Wright,Joshua Wright
Collin O’Malley,Collin O’Malley
Geoffrey Wayne Gaskell Sykes,Geoffrey Sykes
Steven Kukuruza,Steven Kukuruza
NW Tech Geek,Dale Hylton
Sunflower Labs,Alex Pachikov
Timothy Ellis,Timothy Ellis
Daniel Burk,Daniel Burk
Jay Blankenfeld,Jay Blankenfeld
Edward C. Robison III,Edward Robison
Woodway PSD,Ruben DeLeon
John Dancy,John Dancy
Sky Elements LLC,Preston Ward
Evan Cobb,Evan Cobb
Mark Murry,Mark Murry
JOHN MARK WHITE,John White
Charles Gantt,Charles Gantt
Gustavo Canales,Gustavo Canales
Franklin Byers,Franklin Byers
Dylan Collins,Dylan Collins
LJA,Robert Wilhite
Northwestern Michigan College,Tony Sauerbrey
Tucker Nelson,Tucker Nelson
Wyatt Reviglio,Wyatt Reviglio
Greg Schulz,Greg Schulz
Skip Fredricks,Skip Fredricks
Integrated Solutions for Systems Inc.,Christian Hargrove
BG Boyd Photography,Brian Boyd
BPope Productions,Brandon Pope
Dylan Collins,Dylan Collins
Censys Technologies,Rob Knochenhauer
Chad Studer,Chad Studer
BGE UAS,Andrew McCauley
Joseph Mazzola,Joseph Mazzola
Michele Adams,Michele Adams
Terrence Martin,Terrence Martin
FAA Flight Program Operations,Autumn Alderdice
Hans Larson,Hans Larson
Andrew Tasakos,Andrew Tasakos
Parsons Corp,Jeffrey Hong
Mid Ohio Valley Enterprises LLC,Gabriel Richmond
William Lott,William Lott
Hrant Gulesserian,Hrant-George Gulesserian
Terrance Merrell,Terrance Merrell
American Electric Power,Randy Lowe
William Brooks,William Brooks
JHUAPL (Johns Hopkins Applied Physics Lab),Garrett Krol
AirFoxPhotographyLLC,John Buvala
AirFoxPhotographyLLC,John Buvala
Kevin Cottle,Kevin Cottle
4 Focus Sake,Jack Williford
Dominion Energy,Tom Butler
Derk Smith,Derk Smith
Joshua Beyer Wingell,Joshua Wingell
Leonard Feinberg,Leonard Feinberg
ShadRack Minor,ShadRack Minor
Arthur Rose,Arthur Rose
Verizon Aviation,Todd Davis
Polly Amanda Estepp,Polly Estepp
Karry Jones,Karry Jones
Tim Hacker,Tim Hacker
Samuel Hill,Samuel Hill
James Van Booven,James Van Booven
Craig Hall,Craig Hall
Boeing sUAS Operations,Richard Bratt
Steven Edward Peck Jr,Steve Peck
Thomas Obarski,Thomas Obarski
"107.39, 107.145",Daniel Hair
"Picture Factory, Inc.",Craig Peterschmidt
Kent Moyer,Kent Moyer
Gerald Savage,Nick Savage
Matt Mauch,Matt Mauch
Digital Fate Cretive,James Bruning
Michael Lilley,Michael Lilley
Edward Ashley,Edward Ashley
Andrew Bott,Andrew Bott
Richard Surace,Richard Surace
Scott Douglas Malonson,Scott Malonson
Christopher Underwood,Christopher Underwood
Bryan Kremkau,Bryan Kremkau
Alan Blakeney,Alan Blakeney
Omaha Public Power District,Jordan Boetcher
Live Nation Entertainment,John Nieman
Matthew Evans,Matthew Evans
Carl Mantell,Carl Mantell
Leo Krom,Leo Krom
Troy Pearce,Troy Pearce
Pyro Spectaculars,Richard Souza
John C Riggs,John Riggs
Max Moerles,Max Moerles
Joseph Severson,Joseph Severson
Mark Mondello,Mark Mondello
Bradley Dauberman,Bradley Dauberman
James Reavis,James Reavis
Angel City Aerials LLC,Matt Dutcher
Aerial Imaging LLC,Donald Vick
Chad Howard,Chad Howard
Cheuk Him Ng,Cheuk Him Ng
Mark Beck,Mark Beck
Kenneth Bouvier,Kenneth Bouvier
Timothy Butler,Timothy Butler
cmaidi,Chabane Maidi
"Skymagic US, Inc.",James Blanchard
